CSDUID,CSDNAME,area_km2,assigned_ecozone,dominant_ecozone,coverage_pct
3548021,Mattawa,3.96558486506625,Boreal Shield,Yes,100.0
3549032,Parry Sound,14.452421545748049,Boreal Shield,Yes,100.0
3554052,Englehart,3.0434000866460265,Boreal Shield,Yes,100.0
4601060,Lac du Bonnet,2.239407717254367,Boreal Shield,Yes,100.0
4602037,St-Pierre-Jolys,2.603439954367089,Prairie,Yes,100.0
4602044,Steinbach,37.445108710354745,Prairie,Yes,69.65
4602046,Niverville,8.661230132692763,Prairie,Yes,100.0
4602061,Ste. Anne,4.187163939784005,Prairie,Yes,100.0
4603040,Altona,9.351569979461019,Prairie,Yes,100.0
4603050,Winkler,20.747897119849718,Prairie,Yes,100.0
4603053,Morden,16.54341265470962,Prairie,Yes,100.0
4603074,Carman,4.304471175334292,Prairie,Yes,100.0
4607062,Brandon,80.50552549539948,Prairie,Yes,100.0
4609029,Portage la Prairie,25.7386807611908,Prairie,Yes,100.0
4611040,Winnipeg,471.4652656709198,Prairie,Yes,100.0
4612056,Beausejour,5.4565265625650765,Boreal Plain,Yes,100.0
4613047,Selkirk,25.447998004530966,Boreal Plain,Yes,100.0
4614039,Stonewall,5.947613074927216,Prairie,Yes,100.0
4617050,Dauphin,12.474292347500258,Prairie,Yes,100.0
4618074,Arborg,2.2168147711656454,Boreal Plain,Yes,100.0
4620048,Swan River,6.828684726292227,Boreal Plain,Yes,100.0
4622026,Thompson,19.288587719776725,Boreal Shield,Yes,100.0
4701008,Carnduff,2.660803145990308,Prairie,Yes,100.0
4701024,Estevan,19.264696056250187,Prairie,Yes,100.0
4702047,Weyburn,19.241285569917522,Prairie,Yes,100.0
4703036,Assiniboia,3.951453796694107,Prairie,Yes,100.0
4704048,Maple Creek,4.33347665617853,Prairie,Yes,100.0
4705016,Kipling,2.567418990559737,Prairie,Yes,100.0
4705052,Esterhazy,5.721842918383948,Prairie,Yes,100.0
4706027,Regina,180.65118616528204,Prairie,Yes,100.0
4706030,White City,7.5280871146146975,Prairie,Yes,100.0
4706031,Pilot Butte,5.773346930658696,Prairie,Yes,100.0
4706039,Indian Head,3.0443904296958544,Prairie,Yes,100.0
4707037,Caronport,1.8671029085355548,Prairie,Yes,100.0
4707039,Moose Jaw,66.33901779245095,Prairie,Yes,100.0
4708004,Swift Current,29.470293519557867,Prairie,Yes,100.0
4709012,Yorkton,36.40909232363196,Prairie,Yes,100.0
4710068,Wadena,2.949974413850404,Prairie,Yes,100.0
4711066,Saskatoon,232.0374333729424,Prairie,Yes,100.0
4711068,Warman,13.097150031603446,Prairie,Yes,100.0
4711070,Martensville,14.04161418023198,Prairie,Yes,100.0
4711073,Dalmeny,3.2769527862737253,Prairie,Yes,100.0
4711075,Osler,1.6104272223856955,Prairie,Yes,100.0
4713051,Macklin,3.0039618979593765,Prairie,Yes,100.0
4714044,Tisdale,6.391500698255475,Boreal Plain,Yes,100.0
4714051,Melfort,14.772542136065395,Boreal Plain,Yes,100.0
4714076,Nipawin,8.667604885880854,Boreal Plain,Yes,100.0
4715008,Humboldt,13.424879422268388,Prairie,Yes,100.0
4715028,Waldheim,1.9230995339583443,Prairie,Yes,100.0
4715066,Prince Albert,69.05927193440765,Boreal Plain,Yes,100.0
4715068,Birch Hills,2.3775931639162398,Boreal Plain,Yes,100.0
4716029,North Battleford,33.92501295255652,Prairie,Yes,100.0
4717029,Lloydminster (Part),17.928527279928858,Prairie,Yes,100.0
4717052,Meadow Lake,12.169662843554601,Boreal Plain,Yes,100.0
4801006,Medicine Hat,118.81486463511317,Prairie,Yes,100.0
4802008,Raymond,7.699995925260704,Prairie,Yes,100.0
4802009,Stirling,2.727742078653873,Prairie,Yes,100.0
4802012,Lethbridge,124.23043371989152,Prairie,Yes,100.0
4802013,Coalhurst,3.098198809703219,Prairie,Yes,100.0
4802014,Nobleford,1.8523603654048761,Prairie,Yes,100.0
4802018,Picture Butte,3.024727931895621,Prairie,Yes,100.0
4802019,Coaldale,13.987812189013551,Prairie,Yes,100.0
4802022,Taber,19.607230974581846,Prairie,Yes,100.0
4802029,Vauxhall,2.697145424702974,Prairie,Yes,100.0
4802034,Brooks,19.397542147729954,Prairie,Yes,100.0
4802036,Duchess,1.9309668402059594,Prairie,Yes,100.0
4803002,Magrath,5.970302519215947,Prairie,Yes,100.0
4803004,Cardston,8.573953552974682,Prairie,Yes,100.0
4803026,Nanton,5.142272716115205,Prairie,Yes,100.0
4805018,Strathmore,27.918244231513132,Prairie,Yes,100.0
4805048,Three Hills,6.630076269392306,Prairie,Yes,100.0
4806006,High River,22.537865985521996,Prairie,Yes,100.0
4806009,Turner Valley,5.80972028167814,Prairie,Yes,100.0
4806011,Black Diamond,6.873490855379381,Prairie,Yes,100.0
4806012,Okotoks,38.48585332300943,Prairie,Yes,100.0
4806016,Calgary,836.7533880811487,Prairie,Yes,100.0
4806017,Chestermere,36.41189929968623,Prairie,Yes,100.0
4806019,Cochrane,31.726365162273726,Prairie,Yes,100.0
4806021,Airdrie,84.34905890062245,Prairie,Yes,100.0
4806029,Carstairs,11.726350877206519,Prairie,Yes,100.0
4806034,Olds,14.632160886908569,Prairie,Yes,100.0
4807002,Provost,4.865188035042165,Prairie,Yes,100.0
4807026,Stettler,13.28705782974197,Prairie,Yes,100.0
4807054,Wainwright,12.076966567407819,Prairie,Yes,100.0
4808008,Innisfail,19.59011686837239,Prairie,Yes,100.0
4808011,Red Deer,105.26120841598562,Prairie,Yes,100.0
4808012,Sylvan Lake,22.96125486417285,Boreal Plain,Yes,67.42
4808024,Eckville,1.5734927724691945,Boreal Plain,Yes,100.0
4808026,Bentley,2.1903448670731582,Prairie,Yes,100.0
4808029,Blackfalds,16.84288571100851,Prairie,Yes,100.0
4808031,Lacombe,21.32349068965183,Prairie,Yes,100.0
4808039,Ponoka,17.19449851225575,Prairie,Yes,100.0
4809015,Rocky Mountain House,13.471019532640437,Boreal Plain,Yes,100.0
4810011,Camrose,42.447890516317415,Prairie,Yes,100.0
4810028,Vegreville,13.947613852749805,Prairie,Yes,100.0
4810039,Lloydminster (Part),23.65826145309783,Prairie,Yes,100.0
4810052,Two Hills,3.226951620346372,Prairie,Yes,100.0
4811002,Wetaskiwin,19.045989625553847,Prairie,Yes,100.0
4811013,Beaumont,24.184523315787228,Prairie,Yes,100.0
4811016,Leduc,42.250087942878565,Prairie,Yes,100.0
4811018,Devon,13.867896539010111,Prairie,Yes,100.0
4811019,Calmar,4.535648309160709,Prairie,Yes,100.0
4811048,Stony Plain,35.04555538199801,Prairie,Yes,98.63
4811049,Spruce Grove,36.57492848321854,Prairie,Yes,100.0
4811056,Fort Saskatchewan,55.610509780608794,Prairie,Yes,100.0
4811061,Edmonton,760.1567465489625,Prairie,Yes,100.0
4811062,St. Albert,47.40673458197555,Prairie,Yes,100.0
4811068,Morinville,10.905280270980693,Prairie,Yes,100.0
4812009,Bonnyville,16.23848570488799,Boreal Plain,Yes,100.0
4812018,St. Paul,9.898629312167598,Boreal Plain,Yes,100.0
4813019,Barrhead,8.115510060337861,Boreal Plain,Yes,100.0
4815035,Banff,4.1463904349594545,Montane Cordillera,Yes,100.0
4817029,Slave Lake,13.813483519522533,Boreal Plain,Yes,100.0
4819009,Beaverlodge,5.17684670864776,Boreal Plain,Yes,100.0
4819012,Grande Prairie,130.57748606928766,Boreal Plain,Yes,100.0
5901012,Fernie,15.848526423229622,Montane Cordillera,Yes,100.0
5901022,Cranbrook,32.00836836184978,Montane Cordillera,Yes,100.0
5903004,Creston,8.414590542655533,Montane Cordillera,Yes,100.0
5903011,Salmo,2.475507066883171,Montane Cordillera,Yes,100.0
5903015,Nelson,16.008757662799283,Montane Cordillera,Yes,100.0
5903045,Castlegar,23.142591005964697,Montane Cordillera,Yes,100.0
5905005,Fruitvale,2.6995720762075472,Montane Cordillera,Yes,100.0
5905009,Montrose,1.4607681239723773,Montane Cordillera,Yes,100.0
5905018,Warfield,1.8863738427778873,Montane Cordillera,Yes,100.0
5907005,Osoyoos,10.289445551621581,Montane Cordillera,Yes,100.0
5907009,Keremeos,2.1730610962986785,Montane Cordillera,Yes,100.0
