CSDUID,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Indigenous identity: total count,Indigenous identity: Indigenous identity count,Visible minority: total counts,Visible minority: Total visible minority population,Indigenous identity: Indigenous identity count (%),Visible minority: Total visible minority population (%),Number of Men (%),Men in Workforce (%)
2472005,45276.0,44008.0,642.1,70.51,2.9,22085.0,,,19396.0,18742.0,18958.0,18347.0,2.3,3.5,3.3,,,44275.0,4920.0,,11.11,48.78,
2472015,19797.0,18074.0,2267.4,8.73,9.5,9775.0,,,7642.0,6941.0,7503.0,6870.0,2.6,10.1,9.2,,,19755.0,2475.0,,12.53,49.38,
2449075,1708.0,1557.0,406.5,4.2,9.7,855.0,,,730.0,675.0,711.0,657.0,2.3,8.1,8.2,,,,,,,50.06,
2437067,139163.0,134413.0,482.1,288.65,3.5,67435.0,,,70411.0,67771.0,66822.0,63157.0,2.0,3.9,5.8,,,133675.0,8020.0,,6.0,48.46,
2481017,291041.0,276245.0,851.4,341.84,5.4,141590.0,,,133225.0,125608.0,126476.0,118385.0,2.3,6.1,6.8,,,285715.0,54665.0,,19.13,48.65,
2461025,21384.0,20484.0,931.2,22.96,4.4,10090.0,,,11153.0,10285.0,10568.0,9778.0,1.9,8.4,8.1,,,20475.0,1455.0,,7.11,47.18,
2461030,9471.0,9273.0,523.2,18.1,2.1,4495.0,,,4547.0,4396.0,4446.0,4251.0,2.1,3.4,4.6,,,9445.0,145.0,,1.54,47.46,
2461035,15285.0,13791.0,827.0,18.48,10.8,6880.0,,,7259.0,6222.0,6850.0,6053.0,2.0,16.7,13.2,,,13690.0,360.0,,2.63,45.01,
2460005,6302.0,5913.0,2906.2,2.17,6.6,3065.0,,,3217.0,2962.0,3149.0,2878.0,2.0,8.6,9.4,,,6300.0,535.0,,8.49,48.64,
2460013,86100.0,84285.0,1399.6,61.52,2.2,41680.0,,,34710.0,33876.0,34174.0,33321.0,2.5,2.5,2.6,,,84985.0,14925.0,,17.56,48.41,
