CSDUID,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Number of Single-detached Houses,Number of Semi-detached Houses,Number of Row Houses,Number of Apartments (duplex),Number of Apartments (<5 story buildings),Number of Apartments (5+ story buildings),Number of Other Single-attached Houses,Number of Movable Dwellings,Total Dwellings by Type,Indigenous identity: total count,Indigenous identity: Indigenous identity count,Single Indigenous responses,Single Indigenous responses: First Nations,Single Indigenous responses: Métis,Single Indigenous responses: Inuit,Multiple Indigenous responses,Visible minority: total counts,Visible minority: Total visible minority population,Visible minority: South Asian,Visible minority: Chinese,Visible minority: Black,Visible minority: Filipino,Visible minority: Arab,Visible minority: Latin American,Visible minority: Southeast Asian,Visible minority: West Asian,Visible minority: Korean,Visible minority: Japanese,Visible minority: Multiple visible minorities,Visible minority: Not a visible minority,Indigenous identity: Indigenous identity count (%),Single Indigenous responses (%),Single Indigenous responses: First Nations (%),Single Indigenous responses: Métis (%),Single Indigenous responses: Inuit (%),Multiple Indigenous responses (%),Number of Single-detached Houses (%),Number of Semi-detached Houses (%),Number of Row Houses (%),Number of Apartments (duplex) (%),Number of Apartments (<5 story buildings) (%),Number of Apartments (5+ story buildings) (%),Number of Other Single-attached Houses (%),Number of Movable Dwellings (%),Visible minority: Total visible minority population (%),Visible minority: South Asian (%),Visible minority: Chinese (%),Visible minority: Black (%),Visible minority: Filipino (%),Visible minority: Arab (%),Visible minority: Latin American (%),Visible minority: Southeast Asian (%),Visible minority: West Asian (%),Visible minority: Korean (%),Visible minority: Japanese (%),Visible minority: Multiple visible minorities (%),Visible minority: Not a visible minority (%),Number of Men (%),Men in Workforce (%)
1001415,874.0,928.0,107.9,8.1,-5.8,425.0,160.0,350.0,463.0,487.0,372.0,382.0,2.4,-4.9,-2.6,365.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,875.0,45.0,45.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,5.14,5.14,0.0,2.29,0.0,0.0,97.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,48.63,45.71
1001421,1145.0,1073.0,8.2,139.98,6.7,600.0,275.0,475.0,1385.0,1440.0,528.0,461.0,2.2,-3.8,14.5,515.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,525.0,1145.0,20.0,20.0,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,1.75,1.75,0.87,0.87,0.0,0.0,98.1,0.95,0.0,0.95,0.0,0.0,0.95,0.95,,,,,,,,,,,,,,52.4,57.89
1001441,356.0,372.0,27.7,12.85,-4.3,185.0,105.0,200.0,292.0,300.0,167.0,157.0,2.1,-2.7,6.4,155.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,170.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91.18,0.0,5.88,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.97,52.5
1001452,829.0,663.0,10.6,78.38,25.0,430.0,200.0,345.0,1090.0,1170.0,412.0,305.0,2.0,-6.8,35.1,385.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,410.0,830.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.2,1.2,0.0,0.0,0.0,0.0,93.9,0.0,0.0,0.0,0.0,0.0,0.0,6.1,,,,,,,,,,,,,,51.87,57.97
1001490,264.0,322.0,15.7,16.82,-18.0,135.0,30.0,65.0,193.0,188.0,144.0,165.0,1.8,2.7,-12.7,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,96.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.14,46.15
1001124,1373.0,1625.0,1.8,742.38,-15.5,695.0,275.0,590.0,1320.0,1630.0,628.0,697.0,2.2,-19.0,-9.9,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,1370.0,35.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2.55,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,50.62,46.61
1001101,55.0,36.0,0.1,870.89,52.8,30.0,10.0,20.0,72.0,140.0,29.0,19.0,1.9,-48.6,52.6,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,54.55,50.0
1001155,469.0,435.0,0.6,821.97,7.8,260.0,115.0,170.0,802.0,893.0,243.0,214.0,1.9,-10.2,13.6,235.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,245.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,95.92,0.0,0.0,0.0,0.0,0.0,0.0,2.04,,,,,,,,,,,,,,55.44,67.65
1001203,541.0,513.0,1.0,567.62,5.5,295.0,115.0,250.0,738.0,754.0,260.0,235.0,2.1,-2.1,10.6,245.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,260.0,510.0,25.0,25.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,4.9,4.9,0.0,2.94,0.0,0.0,94.23,0.0,0.0,0.0,0.0,0.0,0.0,1.92,,,,,,,,,,,,,,54.53,46.0
1001293,1211.0,1118.0,6.3,190.76,8.3,605.0,295.0,585.0,951.0,857.0,534.0,473.0,2.3,11.0,12.9,520.0,5.0,0.0,10.0,0.0,0.0,0.0,5.0,535.0,1210.0,40.0,40.0,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3.31,3.31,2.07,0.0,0.0,0.0,97.2,0.93,0.0,1.87,0.0,0.0,0.0,0.93,,,,,,,,,,,,,,49.96,50.43
