CSDNAME,CSDUID,visible minority population  (%)
Clarington (3518017) MU,3518017,16.4946
Oshawa (3518013) CY,3518013,28.892
Whitby (3518009) T,3518009,35.3638
Ajax (3518005) T,3518005,64.602
Pickering (3518001) CY,3518001,51.8564
Kawartha Lakes (3516010) CY,3516010,3.4119
Trent Lakes (3515044) MU,3515044,1.9577
Havelock-Belmont-Methuen (3515030) TP,3515030,1.9704
Douro-Dummer (3515023) TP,3515023,2.5607
Selwyn (3515015) TP,3515015,3.3324
Peterborough (3515014) CY,3515014,9.3627
Cavan Monaghan (3515013) TP,3515013,5.2739
Otonabee-South Monaghan (3515005) TP,3515005,2.7977
Trent Hills (3514045) MU,3514045,4.0779
Alnwick/Haldimand (3514024) TP,3514024,5.9259
Cobourg (3514021) T,3514021,5.0303
Port Hope (3514020) MU,3514020,4.4701
Hamilton (3514019) TP,3514019,3.5795
Cramahe (3514014) TP,3514014,3.2283
Brighton (3514004) MU,3514004,4.6522
Prince Edward County (3513020) CY,3513020,3.0965
Tweed (3512030) MU,3512030,3.0586
Stirling-Rawdon (3512020) TP,3512020,3.64
Quinte West (3512015) CY,3512015,4.6438
Belleville (3512005) CY,3512005,9.2852
Stone Mills (3511030) TP,3511030,1.8602
Greater Napanee (3511015) T,3511015,2.7256
Loyalist (3511005) TP,3511005,4.1136
South Frontenac (3510020) TP,3510020,1.7875
Kingston (3510010) CY,3510010,13.4188
Lanark Highlands (3509039) TP,3509039,0.6993
Mississippi Mills (3509030) T,3509030,3.0219
Carleton Place (3509028) T,3509028,6.6015
Beckwith (3509024) TP,3509024,3.5556
Perth (3509021) T,3509021,2.504
Tay Valley (3509015) TP,3509015,1.0686
Drummond/North Elmsley (3509010) TP,3509010,1.845
Smiths Falls (3509004) T,3509004,4.1277
North Grenville (3507065) MU,3507065,3.426
Rideau Lakes (3507040) TP,3507040,1.8072
Gananoque (3507024) T,3507024,2.7725
Leeds and the Thousand Islands (3507021) TP,3507021,2.2857
Brockville (3507015) CY,3507015,6.5056
Elizabethtown-Kitley (3507014) TP,3507014,1.8687
Augusta (3507006) TP,3507006,1.2873
Edwardsburgh/Cardinal (3507004) TP,3507004,1.5344
Ottawa (3506008) CV,3506008,32.465
Russell (3502048) TP,3502048,5.2225
Clarence-Rockland (3502036) C,3502036,7.264
The Nation / La Nation (3502025) M,3502025,3.6108
Alfred and Plantagenet (3502023) TP,3502023,2.2786
Champlain (3502010) TP,3502010,2.8655
Hawkesbury (3502008) T,3502008,5.1373
North Glengarry (3501050) TP,3501050,2.2727
North Stormont (3501042) TP,3501042,1.9795
North Dundas (3501030) TP,3501030,2.027
South Dundas (3501020) MU,3501020,1.7824
Cornwall (3501012) CY,3501012,9.9158
South Stormont (3501011) TP,3501011,2.6473
South Glengarry (3501005) TP,3501005,3.3674
Chibougamau (2499025) V,2499025,3.9161
Port-Cartier (2497022) V,2497022,0.9524
Sept-Îles (2497007) V,2497007,2.3517
Baie-Comeau (2496020) V,2496020,1.7429
Saint-Honoré (2494240) V,2494240,0.3937
Saguenay (2494068) V,2494068,2.0338
Alma (2493042) V,2493042,1.2619
Dolbeau-Mistassini (2492022) V,2492022,1.4471
Saint-Félicien (2491042) V,2491042,1.5205
Roberval (2491025) V,2491025,0.7621
La Tuque (2490012) V,2490012,0.7329
Val-d'Or (2489008) V,2489008,3.6086
Amos (2488055) V,2488055,2.5196
La Sarre (2487090) V,2487090,0.9286
Rouyn-Noranda (2486042) V,2486042,2.4824
La Pêche (2482035) MÉ,2482035,2.884
Pontiac (2482030) MÉ,2482030,2.3693
Chelsea (2482025) MÉ,2482025,5.6911
Cantley (2482020) MÉ,2482020,3.6292
Val-des-Monts (2482015) MÉ,2482015,2.6642
L'Ange-Gardien (2482005) MÉ,2482005,1.1513
Gatineau (2481017) V,2481017,19.1327
Mont-Laurier (2479088) V,2479088,0.9489
Mont-Tremblant (2478102) V,2478102,2.8896
Sainte-Agathe-des-Monts (2478032) V,2478032,1.9816
Val-David (2478010) VL,2478010,1.4532
Saint-Sauveur (2477043) V,2477043,1.8851
Sainte-Adèle (2477022) V,2477022,2.47
Brownsburg-Chatham (2476043) V,2476043,1.1173
Lachute (2476020) V,2476020,1.497
Saint-Hippolyte (2475045) MÉ,2475045,1.6424
Prévost (2475040) V,2475040,1.2482
Sainte-Sophie (2475028) MÉ,2475028,2.1407
Saint-Jérôme (2475017) V,2475017,6.3688
Saint-Colomban (2475005) V,2475005,2.0874
Mirabel (2474005) V,2474005,6.5489
Sainte-Anne-des-Plaines (2473035) V,2473035,4.4092
Bois-des-Filion (2473030) V,2473030,15.6794
Lorraine (2473025) V,2473025,10
Rosemère (2473020) V,2473020,10.3056
Blainville (2473015) V,2473015,12.2606
Sainte-Thérèse (2473010) V,2473010,7.3843
Boisbriand (2473005) V,2473005,11.1799
Saint-Joseph-du-Lac (2472025) MÉ,2472025,3.2097
Pointe-Calumet (2472020) MÉ,2472020,3.1847
Sainte-Marthe-sur-le-Lac (2472015) V,2472015,12.5285
Deux-Montagnes (2472010) V,2472010,11.0795
Saint-Eustache (2472005) V,2472005,11.1124
Rigaud (2471133) V,2471133,4.2511
Saint-Lazare (2471105) V,2471105,10.7806
Hudson (2471100) V,2471100,4.7135
Vaudreuil-Dorion (2471083) V,2471083,29.1558
Pincourt (2471070) V,2471070,17.3188
Notre-Dame-de-l'Île-Perrot (2471065) V,2471065,12.2592
L'Île-Perrot (2471060) V,2471060,16.3685
Les Cèdres (2471050) MÉ,2471050,7.6224
Coteau-du-Lac (2471040) V,2471040,4.8611
Les Coteaux (2471033) MÉ,2471033,2.1352
Saint-Zotique (2471025) MÉ,2471025,3.3385
Salaberry-de-Valleyfield (2470052) V,2470052,3.1068
Beauharnois (2470022) V,2470022,3.6612
Sainte-Martine (2470012) MÉ,2470012,1.7683
Saint-Rémi (2468055) V,2468055,5.6792
Châteauguay (2467050) V,2467050,23.0223
Mercier (2467045) V,2467045,13.0062
Saint-Constant (2467035) V,2467035,13.8777
Sainte-Catherine (2467030) V,2467030,11.0877
Delson (2467025) V,2467025,11.238
Candiac (2467020) V,2467020,18.2161
La Prairie (2467015) V,2467015,17.5988
Saint-Philippe (2467010) V,2467010,8.4232
Dollard-Des Ormeaux (2466142) V,2466142,43.3445
Sainte-Anne-de-Bellevue (2466117) V,2466117,21.8986
Beaconsfield (2466107) V,2466107,19.6691
Kirkland (2466102) V,2466102,31.6788
Pointe-Claire (2466097) V,2466097,25.4119
Dorval (2466087) V,2466087,27.9779
Mont-Royal (2466072) V,2466072,32.3266
Hampstead (2466062) V,2466062,20.1137
Côte-Saint-Luc (2466058) V,2466058,27.0988
Montréal-Ouest (2466047) V,2466047,18.3154
Westmount (2466032) V,2466032,20.4304
Montréal (2466023) V,2466023,38.8207
Laval (2465005) V,2465005,32.6547
Mascouche (2464015) V,2464015,9.7235
Terrebonne (2464008) V,2464008,17.5145
Sainte-Julienne (2463060) MÉ,2463060,2.0183
Saint-Calixte (2463055) MÉ,2463055,2.6588
Saint-Lin--Laurentides (2463048) V,2463048,3.9598
Saint-Roch-de-l'Achigan (2463035) MÉ,2463035,1.0195
Chertsey (2462047) MÉ,2462047,2.277
Rawdon (2462037) MÉ,2462037,1.7384
Saint-Félix-de-Valois (2462007) MÉ,2462007,1.0219
Saint-Charles-Borromée (2461035) V,2461035,2.6297
Notre-Dame-des-Prairies (2461030) V,2461030,1.5352
Joliette (2461025) V,2461025,7.1062
Saint-Paul (2461005) MÉ,2461005,4.1221
L'Épiphanie (2460037) V,2460037,3.5287
L'Assomption (2460028) V,2460028,8.5361
Repentigny (2460013) V,2460013,17.5619
Charlemagne (2460005) V,2460005,8.4921
Contrecoeur (2459035) V,2459035,6.7553
Verchères (2459025) MÉ,2459025,2.9463
Varennes (2459020) V,2459020,4.2788
Saint-Amable (2459015) V,2459015,6.6091
Sainte-Julie (2459010) V,2459010,5.9134
Longueuil (2458227) V,2458227,25.2511
Saint-Bruno-de-Montarville (2458037) V,2458037,7.3867
Boucherville (2458033) V,2458033,8.6717
Saint-Lambert (2458012) V,2458012,13.4205
Brossard (2458007) V,2458007,50.2889
Beloeil (2457040) V,2457040,4.5062
Mont-Saint-Hilaire (2457035) V,2457035,3.7957
Otterburn Park (2457030) V,2457030,3.3608
McMasterville (2457025) MÉ,2457025,2.1486
Saint-Basile-le-Grand (2457020) V,2457020,5.7396
Carignan (2457010) V,2457010,11.0354
Chambly (2457005) V,2457005,9.8398
Saint-Jean-sur-Richelieu (2456083) V,2456083,4.1172
Richelieu (2455057) V,2455057,2.952
Marieville (2455048) V,2455048,3.9873
Saint-Césaire (2455023) V,2455023,1.8836
Saint-Hyacinthe (2454048) V,2454048,9.7848
Saint-Pie (2454008) V,2454008,2.3116
Sorel-Tracy (2453052) V,2453052,2.4618
Lanoraie (2452017) MÉ,2452017,1.3065
Lavaltrie (2452007) V,2452007,3.0335
Saint-Boniface (2451085) MÉ,2451085,0.9852
Louiseville (2451015) V,2451015,3.1387
Nicolet (2450072) V,2450072,1.2837
Drummondville (2449058) V,2449058,5.5668
Acton Vale (2448028) V,2448028,1.0274
Shefford (2447035) CT,2447035,1.2422
Granby (2447017) V,2447017,5.4588
Farnham (2446112) V,2446112,2.0562
Cowansville (2446080) V,2446080,2.0651
Bromont (2446078) V,2446078,2.4889
