GEO,CSDUID,Indigenous identity,Single Indigenous responses,First Nations,Métis,Inuit,Multiple Indigenous responses,Indigenous responses nie,Non-Indigenous identity
"Division No.  9, Subd. G",1009047,58.3,58.3,58.3,0,0,0,0,50
River of Ponds,1009048,15.2,15.2,15.2,0,0,0,0,87.9
"Division No. 10, Subd. A",1010001,23.1,23.1,0,15.4,0,0,0,76.9
L'Anse au Loup,1010002,22.5,17.5,0,10.8,5.8,4.2,0,77.5
Red Bay,1010003,33.3,33.3,0,33.3,0,0,0,66.7
L'Anse-au-Clair,1010004,28,28,0,24,0,0,0,68
Forteau,1010005,29.5,29.5,2.6,25.6,0,0,0,70.5
West St. Modeste,1010006,0,0,0,0,0,0,0,100
Pinware,1010007,0,0,0,0,0,0,0,80
"Division No. 10, Subd. B",1010008,76.7,69.8,0,58.1,11.6,9.3,0,23.3
Port Hope Simpson,1010009,83.8,81.3,3.8,65,13.8,2.5,0,16.3
St. Lewis,1010010,77.8,75,0,66.7,11.1,0,0,22.2
Mary's Harbour,1010011,60,60,3.3,38.3,18.3,3.3,0,40
"Cartwright, Labrador",1010012,86.2,85.1,2.3,58.6,25.3,0,0,14.9
Charlottetown (Labrador),1010013,83.1,81.4,0,50.8,28.8,0,0,15.3
"Division No. 10, Subd. C",1010020,72.7,63.6,0,27.3,45.5,0,0,18.2
North West River,1010022,67.9,64.3,7.1,10.7,46.4,3.6,0,32.1
Happy Valley-Goose Bay,1010025,49.2,47.8,4.7,18,25.1,1.4,0,50.8
"Division No. 10, Subd. D",1010029,13.7,13.7,7.2,6.5,0,0,0,86.3
Labrador City,1010032,10.1,9.7,3.7,3.5,2.5,0.1,0.3,89.9
Wabush,1010034,12.2,12,4.3,5.1,2.8,0,0,87.5
"Division No. 10, Subd. E",1010042,,,,,,,,
Natuashish 2,1010801,95.9,93,90.6,0,2.3,0,1.8,4.7
Sheshatshiu 3,1010802,95,88.4,75.6,3.3,9.5,2.5,4.1,5
"Division No. 11, Subd. C",1011005,,,,,,,,
Rigolet,1011010,96.9,96.9,0,0,93.8,0,0,3.1
Postville,1011015,86.8,84.2,0,0,84.2,0,0,10.5
Makkovik,1011020,87.7,86.3,0,4.1,80.8,0,0,12.3
Hopedale,1011030,95,94.1,1.7,0,91.6,1.7,0,5
Nain,1011035,95.3,95.3,1.2,0,93.5,0,0,4.1
"Division No. 11, Subd. E",1011040,,,,,,,,
Murray Harbour,1101002,5.8,0,0,0,0,0,0,94.2
Murray Harbour,1101003,0,0,0,0,0,0,0,98.4
Murray River,1101004,6.7,6.7,0,0,0,0,0,95
"Murray River, Part 1",1101005,4,4,2.9,1.5,0,0,0,96
Cardigan,1101020,0,0,0,0,0,0,0,100
Central Kings,1101025,0,0,0,0,0,0,0,100
Central Kings,1101027,0,0,0,0,0,0,0,98.9
Annandale - Little Pond - Howe Bay,1101030,0,0,0,0,0,0,0,100
Souris West,1101033,9.2,9.2,0,0,0,0,0,92.3
Souris,1101035,2,2,1.4,0.6,0,0,0,98.3
Souris,1101036,2.6,2.6,1.6,0,0,0,0,96.9
St. Peters,1101037,0,0,0,0,0,0,0,100
Eastern Kings,1101040,6.5,6.5,2.4,0,0,0,0,93.5
Morell,1101043,1.7,1.7,1.2,0.8,0,0,0,98.3
St. Peters Bay,1101044,0,0,0,0,0,0,0,96.2
Three Rivers,1101045,2.4,2.3,1.4,0.6,0,0,0,97.6
Morell,1101048,3.4,3.4,0,0,0,0,0,94.8
Morell 2,1101050,,,,,,,,
"East River, Part 2",1101052,4.1,2.4,2.4,0,0,0,0,95.9
Belfast,1102002,2.2,2.2,0,1.9,0,0,0,97.5
"Murray River, Part 2",1102003,0,0,0,0,0,0,0,100
Montague,1102005,0,0,0,0,0,0,0,100
Crossroads,1102010,2.2,2.2,0.8,1.1,0,0,0,97.8
Hazelbrook,1102011,0,0,0,0,0,0,0,100
Alexandra,1102013,3.6,3.6,3.6,0,0,0,0,98.2
Johnstons River,1102015,0,0,0,0,0,0,0,100
Vernon River,1102016,1.3,1.3,1.3,0,0,0,0,98.5
New Glasgow,1102017,1,1,0.8,0,0,0,0,98.9
"Crapaud, Part 1",1102018,0,0,0,0,0,0,0,100
North Rustico,1102019,0,0,0,0,0,0,0,100
North Wiltshire,1102020,0,0,0,0,0,0,0,95.9
Hampshire,1102021,7.4,7.4,0,4.4,0,0,0,92.6
Kingston,1102022,0,0,0,0,0,0,0,99.5
