CSDNAME,CSDUID,Aggregate after-tax income of households
Chauvin,4807051,10400000
Chehalis 5,5909839,12400000
Chelsea,2482025,372000000
Chemainus 13,5919804,13800000
Chemawawin 2,4621029,20000000
Chénéville,2480103,24400000
Chertsey,2462047,159200000
Chester,1206009,352000000
Chester No. 125,4705018,12400000
Chesterfield Inlet,6205019,11600000
Chesterfield No. 261,4708065,12000000
Chestermere,4806017,856000000
Chesterville,2439030,25400000
Chetwynd,5955010,91600000
Chibougamau,2499025,258500000
Chichester,2484090,10200000
Chicken 224,4718828,18800000
Chilliwack,5909020,3095000000
Chipman,1304024,29800000
Chipman,1304025,33600000
Chippewas of Rama First Nation,3543050,29400000
Chisasibi,2499814,145500000
Chisholm,3548031,40800000
Chitek Lake 191,4716863,11200000
Choiceland,4714092,11400000
Christian Island 30,3543069,13800000
Christopher Lake,4715076,9200000
Churchbridge,4705094,35200000
Churchbridge No. 211,4705093,22000000
Churchill,4623056,28800000
Chute-aux-Outardes,2496035,41800000
Chute-Saint-Philippe,2479065,28800000
Clanwilliam-Erickson,4615092,28600000
Clare,1203001,226000000
Clarence-Rockland,3502036,998000000
Clarendon,2484015,42800000
Clarenville,1007013,212000000
Claresholm,4803022,122200000
Clarington,3518017,3830000000
Clarke's Beach,1001429,39600000
Clark's Harbour,1201004,21000000
Clavet,4711077,14400000
Clayton No. 333,4709067,19600000
Clear Hills,4817062,65200000
Clearview,3543005,525000000
Clearwater,5933067,72800000
Clearwater County,4809002,403000000
Clearwater River Dene 222,4718839,17200000
Clermont,2415035,93400000
Clermont,2487110,16400000
Clerval,2487075,10400000
Cleveland,2442110,41600000
Clinton,5933028,18400000
Clive,4808032,29000000
Cloridorme,2403010,17600000
Clyde,4813032,13400000
Clyde River,1102037,22000000
Clyde River,6204015,25600000
Coaldale,4802019,286000000
Coalhurst,4802013,90800000
Coaticook,2444037,255600000
Cobalt,3554008,28000000
Cobourg,3514021,742000000
Cocagne,1308002,90400000
Cochrane,3556042,178400000
Cochrane,4806019,1296000000
"Cochrane, Unorganized, North Part",3556092,91600000
"Colchester, Subd. A",1210012,108800000
"Colchester, Subd. B",1210008,626000000
"Colchester, Subd. C",1210001,380000000
Cold Lake,4812002,604000000
Cold Lake 149,4812810,16800000
Coldstream,5937010,454000000
Coldwater 1,5933801,7200000
Coldwell,4618044,39600000
Cole Bay 3,5917801,4800000
Coleman,3554001,19600000
Colliers,1001456,20400000
Collingwood,3543031,1008000000
Colombier,2495050,19800000
Colonsay,4711079,14200000
Colonsay No. 342,4711076,10000000
Columbia-Shuswap A,5939011,119600000
Columbia-Shuswap B,5939023,24800000
Columbia-Shuswap C,5939037,316000000
Columbia-Shuswap D,5939039,139200000
Columbia-Shuswap E,5939043,43000000
Columbia-Shuswap F,5939044,110400000
Colwood,5917041,720000000
Comfort Cove-Newstead,1008039,9800000
Communauté Atikamekw de Manawan,2462802,35200000
Communauté de Wemotaci,2490802,22800000
Comox,5926005,538000000
Comox 1,5926801,7000000
Comox Valley A,5926021,280000000
Comox Valley B (Lazo North),5926022,291000000
Comox Valley C (Puntledge - Black Creek),5926024,334000000
Compton,2444071,92000000
Conception Bay South,1001485,952000000
Conception Harbour,1001461,19600000
Conmee,3558019,30800000
Connaught No. 457,4714056,16400000
Consort,4804022,20400000
Constance Lake 92,3556095,19200000
Contrecoeur,2459035,314000000
Cookshire-Eaton,2441038,155600000
Coquitlam,5915034,5380000000
Coral Harbour,6205014,24000000
Cormack,1005014,13400000
Corman Park No. 344,4711065,356000000
Corner Brook,1005018,600000000
Cornwall,1102085,215200000
Cornwall,3501012,1372000000
Cornwallis,4607060,156400000
Coronach,4703004,22000000
Coronation,4807012,29400000
Cote 64,4709819,13600000
Cote No. 271,4709037,21600000
Coteau No. 255,4707067,12800000
Coteau-du-Lac,2471040,259500000
Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,26200000
Côte-Saint-Luc,2466058,1250000000
Couchiching 16A,3559063,17600000
Coulee No. 136,4707018,14400000
Courcelles,2430090,21400000
Courtenay,5926010,972000000
Coverdale,1306014,153200000
Cow Head,1009016,13200000
Cowansville,2446080,428000000
Cowessess 73,4705803,13400000
Cowichan,5919822,50400000
Cowichan Valley A,5919043,202000000
Cowichan Valley B,5919046,330000000
Cowichan Valley C,5919049,197600000
Cowichan Valley D,5919013,129600000
Cowichan Valley E,5919051,142400000
Cowichan Valley F,5919033,60800000
Cowichan Valley G,5919015,90000000
Cowichan Valley H,5919017,101600000
Cowichan Valley I,5919035,52000000
Cox's Cove,1005023,16000000
Crabtree,2461013,125000000
Craik,4707092,13200000
Craik No. 222,4707091,9600000
Cramahe,3514014,225600000
Cranbrook,5901022,724000000
Crane River 51,4619068,7000000
Crapaud,1102034,6600000
"Crapaud, Part 1",1102018,46200000
"Crapaud, Part 2",1103004,17200000
Craven,4706078,11200000
Creighton,4718051,46800000
Cremona,4806031,12600000
Creston,5903004,172400000
Cross Lake 19,4622051,30800000
Cross Lake 19A,4622052,31000000
Cross Lake 19E,4622067,13600000
Crossfield,4806026,128800000
Crossroads,1102010,63400000
Crowsnest Pass,4815007,224400000
Cudworth,4715041,21000000
Cumberland,5926014,149600000
Cumberland 100A,4715850,4400000
Cumberland House,4718005,14200000
Cumberland House Cree Nation 20,4718801,11800000
"Cumberland, Subd. A",1211001,85200000
"Cumberland, Subd. B",1211006,185200000
"Cumberland, Subd. C",1211009,195600000
"Cumberland, Subd. D",1211014,135600000
Cupar,4706094,18000000
Cupar No. 218,4706091,18800000
Cupids,1001437,20400000
Curve Lake First Nation 35,3515019,31400000
Cut Knife,4713098,16000000
Cut Knife No. 439,4713096,13600000
Cymri No. 36,4702037,25200000
Cypress County,4801003,279000000
Dalhousie,1314008,38000000
Dalhousie,1314017,85800000
Dalmeny,4711073,60800000
Danville,2440047,112200000
Dauphin,4617048,71600000
Dauphin,4617050,243200000
Daveluyville,2439152,68000000
Davidson,4711014,34000000
Dawn-Euphemia,3538007,65600000
Dawson,3559040,14800000
Dawson,6001029,59400000
Dawson Creek,5955014,448000000
Daysland,4807039,25600000
De Salaberry,4602032,96000000
Debden,4716054,7600000
Deep River,3547096,167200000
Deer Lake,1005004,143200000
Deer Lake,3560070,17600000
Dégelis,2413005,82000000
Delburne,4808004,27800000
Déléage,2483070,53400000
Déline,6102003,18800000
Delisle,4712056,35200000
Deloraine-Winchester,4605038,49600000
Delson,2467025,279500000
Delta,5915011,4090000000
Denare Beach,4718049,29200000
Denholm,2483005,15600000
Denmark,1312014,36400000
Derby,1309011,30800000
Desbiens,2493005,28200000
Deschaillons-sur-Saint-Laurent,2438070,27200000
Deschambault-Grondines,2434058,65600000
Deseronto,3512002,47200000
Deux-Montagnes,2472010,598000000
Devon,4811018,226400000
Devon 30,1310034,23600000
Didsbury,4806032,160400000
Dieppe,1307045,992000000
Digby,1203004,190800000
Digby,1203006,50600000
Dinsmore,4712016,8800000
Disraeli,2431015,65600000
Disraeli,2431020,36400000
"Division No.  1, Subd. A",1001259,19600000
"Division No.  1, Subd. B",1001234,11800000
"Division No.  1, Subd. E",1001304,79600000
"Division No.  1, Subd. F",1001321,14200000
"Division No.  1, Subd. G",1001339,48400000
"Division No.  1, Subd. H",1001357,10600000
"Division No.  1, Subd. I",1001374,11600000
"Division No.  1, Subd. L",1001415,25800000
"Division No.  1, Subd. M",1001421,38000000
"Division No.  1, Subd. N",1001441,11200000
"Division No.  1, Subd. O",1001452,26000000
"Division No.  1, Subd. R",1001490,6400000
"Division No.  1, Subd. U",1001124,48400000
"Division No.  1, Subd. W",1001155,13600000
"Division No.  1, Subd. X",1001203,19200000
