CSDNAME,CSDUID,Aggregate after-tax income of households
Sainte-Barbe,2469065,59600000
Sainte-Béatrix,2462020,64800000
Sainte-Brigide-d'Iberville,2456105,42400000
Sainte-Brigitte-de-Laval,2422045,282500000
Sainte-Brigitte-des-Saults,2449085,20000000
Sainte-Catherine,2467030,570000000
Sainte-Catherine-de-Hatley,2445060,110400000
Sainte-Catherine-de-la-Jacques-Cartier,2422005,288500000
Sainte-Cécile-de-Lévrard,2438060,10000000
Sainte-Cécile-de-Milton,2447055,64400000
Sainte-Cécile-de-Whitton,2430050,23000000
Sainte-Christine,2448020,16800000
Sainte-Christine-d'Auvergne,2434105,20000000
Sainte-Claire,2419055,114400000
Sainte-Clotilde,2468020,57000000
Sainte-Clotilde-de-Beauce,2431060,18000000
Sainte-Clotilde-de-Horton,2439117,39800000
Sainte-Croix,2433102,72400000
Saint-Edmond-de-Grantham,2449100,24000000
Saint-Edmond-les-Plaines,2492050,10000000
Saint-Édouard,2468045,42000000
Saint-Édouard-de-Fabre,2485015,20400000
Saint-Édouard-de-Lotbinière,2433080,35200000
Saint-Édouard-de-Maskinongé,2451050,22400000
Sainte-Edwidge-de-Clifton,2444055,15600000
Sainte-Élisabeth,2452030,42800000
Sainte-Élizabeth-de-Warwick,2439090,10800000
Sainte-Émélie-de-l'Énergie,2462070,50200000
Sainte-Eulalie,2450005,31200000
Sainte-Euphémie-sur-Rivière-du-Sud,2418035,10200000
Sainte-Famille-de-l'Île-d'Orléans,2420010,28800000
Sainte-Félicité,2408023,30600000
Sainte-Félicité,2417025,9400000
Sainte-Flavie,2409085,31000000
Sainte-Florence,2407010,9600000
Sainte-Françoise,2411030,10600000
Sainte-Françoise,2438035,14400000
Sainte-Geneviève-de-Batiscan,2437215,33600000
Sainte-Geneviève-de-Berthier,2452040,74000000
Sainte-Germaine-Boulé,2487030,28600000
Sainte-Gertrude-Manneville,2488085,25200000
Sainte-Hedwidge,2491030,28800000
Sainte-Hélène-de-Bagot,2454095,53400000
Sainte-Hélène-de-Chester,2439035,10800000
Sainte-Hélène-de-Kamouraska,2414025,25400000
Sainte-Hélène-de-Mancebourg,2487070,12000000
Sainte-Hénédine,2426040,39600000
Sainte-Irène,2407040,10000000
Sainte-Jeanne-d'Arc,2492015,34000000
Sainte-Julie,2459010,1166000000
Sainte-Julienne,2463060,318500000
Sainte-Justine,2428045,51200000
Sainte-Justine-de-Newton,2471115,25600000
Saint-Élie-de-Caxton,2451075,62200000
Saint-Éloi,2411035,11600000
Sainte-Louise,2417060,19000000
Sainte-Luce,2409092,91400000
Sainte-Lucie-de-Beauregard,2418020,8000000
Sainte-Lucie-des-Laurentides,2478020,43200000
Saint-Elzéar,2405050,12400000
Saint-Elzéar,2426022,79200000
Saint-Elzéar-de-Témiscouata,2413085,10400000
Sainte-Madeleine,2454025,72000000
Sainte-Madeleine-de-la-Rivière-Madeleine,2404005,8200000
Sainte-Marcelline-de-Kildare,2462030,63000000
Sainte-Marguerite,2426035,32800000
Sainte-Marguerite-du-Lac-Masson,2477012,120200000
Sainte-Marie,2426030,425000000
Sainte-Marie-de-Blandford,2438015,11600000
Sainte-Marie-Madeleine,2454030,100800000
Sainte-Marie-Saint-Raphaël,1315033,22600000
Sainte-Marie-Salomé,2463005,35600000
Sainte-Marthe,2471110,36800000
Sainte-Marthe-sur-le-Lac,2472015,666000000
Sainte-Martine,2470012,183600000
Sainte-Mélanie,2461050,100200000
Saint-Émile-de-Suffolk,2480125,15200000
Sainte-Monique,2450057,15600000
Sainte-Monique,2493075,26400000
Sainte-Perpétue,2417030,43800000
Sainte-Perpétue,2450050,26400000
Sainte-Pétronille,2420030,46800000
Saint-Éphrem-de-Beauce,2429112,69600000
Saint-Épiphane,2412030,20400000
Sainte-Praxède,2431050,9600000
Sainte-Rita,2411015,8000000
Sainte-Rose-de-Watford,2428030,23800000
Sainte-Rose-du-Nord,2494230,12800000
Sainte-Sabine,2428065,9600000
Sainte-Sabine,2446105,34400000
Sainte-Séraphine,2439105,10000000
Sainte-Sophie,2475028,551000000
Sainte-Sophie-de-Lévrard,2438040,17800000
Sainte-Sophie-d'Halifax,2432023,15800000
Saint-Esprit,2463030,62400000
Sainte-Thècle,2435050,64000000
Sainte-Thérèse,2473010,872000000
Sainte-Thérèse-de-Gaspé,2402010,33200000
Sainte-Thérèse-de-la-Gatineau,2483055,21200000
Saint-Étienne-de-Beauharnois,2470030,37200000
Saint-Étienne-de-Bolton,2445100,30400000
Saint-Étienne-des-Grès,2451090,148400000
Saint-Eugène,2449105,32000000
Saint-Eugène-d'Argentenay,2492065,14400000
Saint-Eugène-de-Guigues,2485085,14800000
Saint-Eugène-de-Ladrière,2410075,11200000
Sainte-Ursule,2451040,38800000
Saint-Eusèbe,2413030,16800000
Saint-Eustache,2472005,1468000000
Saint-Évariste-de-Forsyth,2429025,14400000
Sainte-Victoire-de-Sorel,2453025,84800000
Saint-Fabien,2410070,52800000
Saint-Fabien-de-Panet,2418015,24400000
Saint-Faustin--Lac-Carré,2478047,122200000
Saint-Félicien,2491042,320000000
Saint-Félix-de-Dalquier,2488060,32400000
Saint-Félix-de-Kingsey,2449005,41400000
Saint-Félix-de-Valois,2462007,210800000
Saint-Félix-d'Otis,2494225,39600000
Saint-Ferdinand,2432013,65600000
Saint-Ferréol-les-Neiges,2421010,156400000
Saint-Flavien,2433052,44600000
Saint-Fortunat,2431030,7600000
Saint-François-d'Assise,2406055,17000000
Saint-François-de-la-Rivière-du-Sud,2418060,46600000
Saint-François-de-l'Île-d'Orléans,2420005,20400000
Saint-François-de-Sales,2491015,18600000
Saint-François-du-Lac,2450128,55600000
Saint-François-Xavier-de-Brompton,2442020,77600000
Saint-Frédéric,2427065,30000000
Saint-Fulgence,2494235,64000000
Saint-Gabriel,2452080,68400000
Saint-Gabriel-de-Brandon,2452085,84200000
Saint-Gabriel-de-Rimouski,2409025,32800000
Saint-Gabriel-de-Valcartier,2422025,96800000
Saint-Gabriel-Lalemant,2414075,21400000
Saint-Gédéon,2493035,80000000
Saint-Gédéon-de-Beauce,2429013,59600000
Saint-Georges,2429073,1048000000
Saint-Georges-de-Clarenceville,2456010,34800000
Saint-Georges-de-Windsor,2440032,26600000
Saint-Germain,2414045,10000000
Saint-Germain-de-Grantham,2449048,152400000
Saint-Gervais,2419075,66400000
Saint-Gilbert,2434060,8400000
Saint-Gilles,2433035,84800000
Saint-Godefroi,2405015,11400000
Saint-Guillaume,2449113,41000000
Saint-Henri,2419068,188800000
Saint-Henri-de-Taillon,2493070,27200000
Saint-Herménégilde,2444015,22800000
Saint-Hilarion,2416050,32800000
Saint-Hippolyte,2475045,373000000
Saint-Honoré,2494240,205200000
Saint-Honoré-de-Shenley,2429038,43800000
Saint-Honoré-de-Témiscouata,2413090,16800000
Saint-Hubert-de-Rivière-du-Loup,2412010,40800000
Saint-Hugues,2454100,40800000
Saint-Hyacinthe,2454048,1752000000
Saint-Ignace-de-Loyola,2452045,65200000
Saint-Ignace-de-Stanbridge,2446095,20000000
Saint-Irénée,2415005,30000000
Saint-Isidore,1315021,33200000
Saint-Isidore,1315022,25200000
Saint-Isidore,2426063,102600000
Saint-Isidore,2467040,90800000
Saint-Isidore-de-Clifton,2441012,20400000
Saint-Jacques,1313024,51800000
Saint-Jacques,2463013,129600000
Saint-Jacques-de-Leeds,2431140,19600000
Saint-Jacques-le-Mineur,2468040,57800000
Saint-Janvier-de-Joly,2433065,31800000
Saint-Jean-Baptiste,2457033,103600000
Saint-Jean-de-Brébeuf,2431100,9600000
Saint-Jean-de-Dieu,2411010,37800000
Saint-Jean-de-l'Île-d'Orléans,2420015,37600000
Saint-Jean-de-Matha,2462015,146800000
Saint-Jean-Port-Joli,2417070,98200000
Saint-Jean-sur-Richelieu,2456083,3200000000
Saint-Jérôme,2475017,2424000000
Saint-Joachim,2421020,43600000
Saint-Joachim-de-Shefford,2447040,42800000
Saint-Joseph,1313022,41400000
Saint-Joseph-de-Beauce,2427043,151200000
Saint-Joseph-de-Coleraine,2431045,54200000
Saint-Joseph-de-Kamouraska,2414030,11000000
Saint-Joseph-de-Lepage,2409070,20400000
Saint-Joseph-des-Érables,2427050,10000000
Saint-Joseph-de-Sorel,2453050,39200000
Saint-Joseph-du-Lac,2472025,242400000
Saint-Jude,2454110,36400000
Saint-Jules,2427055,15400000
Saint-Julien,2431035,8800000
Saint-Just-de-Bretenières,2418005,16200000
Saint-Juste-du-Lac,2413040,14600000
Saint-Justin,2451045,28000000
Saint-Lambert,2458012,1150000000
Saint-Lambert-de-Lauzon,2426070,232400000
Saint-Laurent-de-l'Île-d'Orléans,2420020,64400000
Saint-Lazare,2471105,852000000
Saint-Lazare-de-Bellechasse,2419050,36800000
Saint-Léandre,2408065,10600000
Saint-Léolin,1315017,15200000
Saint-Léonard,1313004,26600000
Saint-Léonard,1313006,36800000
Saint-Léonard-d'Aston,2450042,73200000
Saint-Léonard-de-Portneuf,2434115,36000000
Saint-Léon-de-Standon,2419020,30200000
Saint-Léon-le-Grand,2407030,25000000
Saint-Léon-le-Grand,2451035,23400000
Saint-Liboire,2454072,95200000
Saint-Liguori,2463065,67200000
Saint-Lin--Laurentides,2463048,676000000
Saint-Louis,1308021,50400000
Saint-Louis,2454120,22000000
Saint-Louis de Kent,1308022,24800000
Saint-Louis-de-Blandford,2439170,29800000
Saint-Louis-de-Gonzague,2428035,12400000
Saint-Louis-de-Gonzague,2470035,57800000
Saint-Louis-du-Ha! Ha!,2413080,36000000
Saint-Luc-de-Bellechasse,2428060,12800000
Saint-Luc-de-Vincennes,2437225,16800000
Saint-Lucien,2449030,53000000
Saint-Ludger,2430072,30600000
Saint-Ludger-de-Milot,2493080,20800000
Saint-Magloire,2428075,17800000
Saint-Majorique-de-Grantham,2449095,44400000
Saint-Malachie,2419025,46400000
Saint-Malo,2444003,13800000
Saint-Marc-de-Figuery,2488040,37600000
Saint-Marc-des-Carrières,2434065,83600000
Saint-Marc-du-Lac-Long,2413020,10200000
Saint-Marcel,2417020,11800000
Saint-Marcel-de-Richelieu,2454125,12800000
Saint-Marcellin,2410025,12600000
Saint-Marc-sur-Richelieu,2457050,80000000
Saint-Martin,2429045,74400000
Saint-Mathias-sur-Richelieu,2455065,159200000
Saint-Mathieu,2467005,80000000
Saint-Mathieu-de-Beloeil,2457045,120800000
Saint-Mathieu-de-Rioux,2411050,24400000
Saint-Mathieu-d'Harricana,2488050,29600000
Saint-Mathieu-du-Parc,2451070,50600000
Saint-Maurice,2437230,104400000
Saint-Maxime-du-Mont-Louis,2404010,27000000
Saint-Michel,2468050,116000000
Saint-Michel-de-Bellechasse,2419110,63600000
Saint-Michel-des-Saints,2462085,75600000
Saint-Michel-du-Squatec,2413065,31000000
Saint-Modeste,2412020,33200000
Saint-Moïse,2407095,13400000
Saint-Narcisse,2437240,51800000
Saint-Narcisse-de-Beaurivage,2433030,32400000
Saint-Narcisse-de-Rimouski,2410015,31600000
Saint-Nazaire,2493045,64800000
Saint-Nazaire-d'Acton,2448050,26600000
Saint-Nazaire-de-Dorchester,2419015,9200000
Saint-Nérée-de-Bellechasse,2419045,21400000
Saint-Noël,2407100,11800000
Saint-Norbert,2452070,28400000
Saint-Norbert-d'Arthabaska,2439043,34800000
Saint-Octave-de-Métis,2409055,12000000
Saint-Odilon-de-Cranbourne,2427035,38800000
Saint-Omer,2417005,8000000
Saint-Onésime-d'Ixworth,2414080,14400000
Saint-Ours,2453032,58400000
Saint-Pacôme,2414070,45400000
Saint-Pamphile,2417010,67600000
Saint-Pascal,2414018,99200000
Saint-Patrice-de-Beaurivage,2433025,32800000
Saint-Patrice-de-Sherrington,2468025,60600000
Saint-Paul,1308008,24200000
Saint-Paul,2461005,213600000
Saint-Paul-d'Abbotsford,2455015,88800000
Saint-Paul-de-la-Croix,2412035,10400000
Saint-Paul-de-l'Île-aux-Noix,2456035,68000000
Saint-Paul-de-Montminy,2418030,22600000
Saint-Paulin,2451060,42800000
Saint-Philémon,2419005,18000000
Saint-Philibert,2429065,8800000
Saint-Philippe,2467010,262500000
Saint-Philippe-de-Néri,2414060,21600000
Saint-Pie,2454008,185200000
Saint-Pie-de-Guire,2449130,14200000
Saint-Pierre,2461020,8400000
Saint-Pierre-Baptiste,2432050,15200000
Saint-Pierre-de-Broughton,2431135,23800000
Saint-Pierre-de-la-Rivière-du-Sud,2418055,26400000
Saint-Pierre-de-l'Île-d'Orléans,2420025,62800000
Saint-Pierre-les-Becquets,2438065,37200000
Saint-Placide,2472043,57600000
Saint-Polycarpe,2471020,69200000
Saint-Prime,2491035,84800000
Saint-Prosper,2428020,105000000
Saint-Prosper-de-Champlain,2437250,12600000
Saint-Quentin,1314021,44000000
Saint-Quentin,1314022,59000000
Saint-Raphaël,2419082,71200000
Saint-Raymond,2434128,349000000
Saint-Rémi,2468055,269500000
Saint-Rémi-de-Tingwick,2439020,12000000
Saint-René,2429050,29600000
Saint-René-de-Matane,2408035,30800000
Saint-Robert,2453020,56200000
Saint-Robert-Bellarmin,2430070,15400000
Saint-Roch-de-l'Achigan,2463035,169200000
Saint-Roch-de-Mékinac,2435045,13200000
Saint-Roch-de-Richelieu,2453040,88800000
Saint-Roch-des-Aulnaies,2417065,29400000
Saint-Roch-Ouest,2463040,8400000
Saint-Romain,2430100,20800000
Saint-Rosaire,2439145,25000000
Saint-Samuel,2439130,25200000
Saints-Anges,2426010,39200000
Saint-Sauveur,2477043,457000000
Saint-Sébastien,2430085,18400000
Saint-Sébastien,2456050,22000000
Saint-Sévère,2451030,10800000
Saint-Séverin,2427070,6800000
Saint-Séverin,2435020,27000000
Saint-Siméon,2405055,40800000
Saint-Siméon,2415058,31600000
Saint-Simon,2454090,40800000
Saint-Simon-de-Rimouski,2411055,12200000
Saint-Simon-les-Mines,2429125,19600000
Saint-Sixte,2480070,14200000
Saints-Martyrs-Canadiens,2439005,9600000
Saint-Stanislas,2437245,32800000
Saint-Stanislas,2492070,9600000
Saint-Stanislas-de-Kostka,2470040,63800000
Saint-Sulpice,2460020,115200000
Saint-Sylvère,2438005,23200000
Saint-Sylvestre,2433007,28800000
Saint-Télesphore,2471015,17600000
Saint-Tharcisius,2407070,9600000
Saint-Théodore-d'Acton,2448045,43200000
Saint-Théophile,2429005,19000000
Saint-Thomas,2461027,109400000
Saint-Thomas-Didyme,2492045,21200000
Saint-Thuribe,2434085,6800000
Saint-Tite,2435027,105800000
Saint-Tite-des-Caps,2421005,45400000
Saint-Ubalde,2434090,45200000
Saint-Ulric,2408073,50800000
Saint-Urbain,2416055,40400000
Saint-Urbain-Premier,2470005,49200000
Saint-Valentin,2456030,11600000
Saint-Valère,2439135,34000000
Saint-Valérien,2410060,26000000
Saint-Valérien-de-Milton,2454065,54400000
Saint-Vallier,2419117,33200000
Saint-Vianney,2407075,12400000
Saint-Victor,2427008,68800000
Saint-Wenceslas,2450023,34800000
Saint-Zacharie,2428005,48600000
Saint-Zénon,2462080,43400000
Saint-Zénon-du-Lac-Humqui,2407035,9400000
Saint-Zéphirin-de-Courval,2450090,22000000
Saint-Zotique,2471025,325000000
Sakimay 74,4705805,5600000
Salaberry-de-Valleyfield,2470052,1284000000
Salisbury,1307024,92800000
Salisbury,1307028,68800000
Salluit,2499135,36400000
Salmo,5903011,35200000
Salmon Arm,5939032,646000000
Salmon Cove,1001361,21400000
Saltcoats,4705078,14600000
Saltcoats No. 213,4705077,23200000
Saltspring Island,5917027,449000000
Samiajij Miawpukek,1003801,29000000
Samson 137,4808811,60800000
Sandy Bay,4718058,13000000
Sandy Bay 5,4608069,38400000
Sandy Lake 88,3560071,28000000
Sanikiluaq,6204001,20400000
Sarnia,3538030,2630000000
Sarnia 45,3538025,15000000
Sarnia No. 221,4706063,11200000
Saskatchewan Beach,4706072,15600000
Saskatchewan Landing No. 167,4708038,13600000
Saskatoon,4711066,9360000000
Sasman No. 336,4710071,28800000
Saugeen 29,3541057,20400000
Saugeen Shores,3541045,718000000
Sault Ste. Marie,3557061,2496000000
Saulteaux 159,4717813,6400000
Sayabec,2407085,46400000
Sayward,5924039,8800000
Schreiber,3558051,38800000
Scotstown,2441080,13200000
Scott,2426048,81600000
Scugog,3518020,870000000
Seabird Island,5909832,15200000
Seal Cove (White Bay),1008091,8400000
Sechelt,5929011,397000000
Sechelt (Part),5929803,20200000
Sedgewick,4807044,27200000
Sedley,4706008,9600000
Seekaskootch 119,4717801,30400000
Seguin,3549003,205600000
Seine River 23A,3559066,4200000
Selkirk,4613047,305500000
Selwyn,3515015,742000000
Senneterre,2489040,83200000
Senneterre,2489045,41200000
Senneville,2466127,56400000
Sept-Îles,2497007,914000000
Serpent River 7,3557072,8800000
Severn,3543015,539000000
Sexsmith,4819014,84000000
Shannon,2422020,230000000
Shaunavon,4704036,58800000
Shawinigan,2436033,1444000000
Shawville,2484010,45600000
Shediac,1307016,182000000
Shediac,1307052,231200000
Sheffield,1303014,27400000
Shefford,2447035,269000000
Shelburne,1201006,128000000
Shelburne,1201008,45800000
Shelburne,3522021,277500000
Shellbrook,4716047,50200000
Shellbrook No. 493,4716046,54400000
Sherbrooke,2443027,5350000000
Sherwood No. 159,4706026,30000000
Sheshatshiu 3,1010802,32400000
Shields,4711064,14400000
Shigawake,2405010,8400000
Shippagan,1315029,142000000
Shippagan,1315031,79200000
Shoal Lake 28A,4714839,4400000
Shoal Lake 39A,3560068,8400000
Shoal River Indian Reserve 65A,4619072,12200000
Shuniah,3558028,154000000
Shuswap,5901806,10400000
Sicamous,5939045,87600000
Sidney,5917010,485000000
Sifton,4606016,37600000
Siksika 146,4805802,68400000
Silverwood No. 123,4705011,12000000
Simonds,1301004,120200000
Simonds,1311021,17200000
Sioux Lookout,3560034,234800000
Sioux Narrows-Nestor Falls,3560008,19200000
Sioux Valley Dakota Nation,4606040,17400000
Skidegate 1,5947804,20800000
Skowkale,5909884,32800000
Slate Falls,3560046,4400000
Slave Lake,4817029,238800000
Sliammon 1,5927802,23800000
Sliding Hills No. 273,4709033,11200000
Slocan,5903019,7800000
Small Point-Adam's Cove-Blackhead-Broad Cove,1001352,13400000
Smithers,5951043,196000000
Smiths Falls,3509004,275000000
Smoky Lake,4812029,29400000
Smoky Lake County,4812022,109400000
Smoky River No. 130,4819041,58400000
Smooth Rock Falls,3556048,41600000
Snipe Lake No. 259,4708074,17200000
Snow Lake,4621071,45200000
Sooke,5917052,533000000
Sorel-Tracy,2453052,1092000000
Souris,1101035,57000000
Souris,1101036,26000000
Souris West,1101033,11200000
Souris-Glenwood,4607052,71200000
South Algonquin,3548001,34000000
South Brook,1008059,10800000
South Bruce,3541004,196800000
South Bruce Peninsula,3541055,316500000
South Dundas,3501020,366000000
South Frontenac,3510020,790000000
South Glengarry,3501005,506000000
South Huron,3540005,334000000
South Indian Lake,4623037,10000000
South Qu'Appelle No. 157,4706034,40800000
South River,1001434,22800000
South River,3549056,30400000
South Saanich 1,5917804,15400000
South Stormont,3501011,484000000
Southampton,1310024,44200000
Southend 200,4718822,17200000
Southern Gulf Islands,5917029,238400000
Southern Harbour,1001267,9600000
Southesk,1309026,54000000
Southey,4706092,27000000
Southgate,3542005,257500000
Southwest Middlesex,3539005,186000000
South-West Oxford,3532012,250400000
Southwold,3534024,173200000
Spalding No. 368,4714026,13200000
Spallumcheen,5937024,176000000
Spaniard's Bay,1001396,72400000
Spanish,3557039,14600000
Sparwood,5901006,175200000
Special Area No. 2,4804004,59000000
Special Area No. 3,4804012,32800000
Special Area No. 4,4804020,36000000
Spirit River,4819058,31600000
Spirit River No. 133,4819054,23200000
Spiritwood,4716058,34400000
Spiritwood No. 496,4716056,38400000
Split Lake 171,4622063,36000000
Spring Lake,4811046,32500000
Springdale,1008061,80000000
Springfield,1305034,50600000
Springfield,4612047,587000000
Springside,4709016,15800000
Springwater,3543009,912000000
Spruce Grove,4811049,1416000000
Spy Hill No. 152,4705041,13600000
Squamish,5931006,986000000
Squamish-Lillooet A,5931032,10000000
Squamish-Lillooet B,5931034,10600000
Squamish-Lillooet C,5931017,75600000
Squamish-Lillooet D,5931021,54800000
St. Alban's,1003019,32000000
St. Albert,4811062,2940000000
St. Andrews,4613043,437000000
St. Andrews No. 287,4712004,12000000
St. Anthony,1009029,71600000
St. Basile 10,1313020,14200000
St. Bernard's-Jacques Fontaine,1002041,14800000
St. Bride's,1001228,11600000
St. Brieux,4715049,24400000
St. Catharines,3526053,4530000000
St. Clair,3538003,585000000
St. Clements,4613056,436000000
St. Felix,1103053,8400000
St. François Xavier,4610052,56800000
St. George,1302018,46600000
St. George's,1004013,31200000
St. Jacques-Coomb's Cove,1003003,16400000
St. John's,1001519,4010000000
St. Joseph,3557008,54000000
St. Laurent,4618040,39200000
St. Lawrence,1002008,30400000
St. Louis,4715059,14000000
St. Louis No. 431,4715057,35600000
St. Lunaire-Griquet,1009032,21600000
St. Marys,3531016,266000000
St. Mary's,1001178,8400000
St. Mary's,1213001,59400000
St. Paul,4812018,192400000
St. Paul County No. 19,4812014,217600000
St. Peter No. 369,4715001,23600000
St. Peters,1101037,16400000
St. Stephen,1302037,128000000
St. Theresa Point,4622801,48400000
St. Thomas,3534021,1356000000
St. Walburg,4717036,20400000
St.-Charles,3552004,44400000
Stanbridge East,2446045,26400000
Stanbridge Station,2446030,8800000
Standard,4805021,12800000
Standing Buffalo 78,4706811,11600000
Stanley,1310036,25400000
Stanley,1310037,9000000
Stanley,4603047,196800000
Stanley 157,4718803,31000000
"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",1102045,11200000
Stanley No. 215,4705067,14400000
Stanstead,2445008,73200000
Stanstead,2445025,46400000
Stanstead-Est,2444050,18000000
Star City,4714049,11600000
Star City No. 428,4714047,25200000
Starland County,4805031,48000000
Stavely,4803024,19200000
Ste. Anne,4602057,159600000
Ste. Anne,4602061,79200000
Ste. Rose,4617041,44000000
Steady Brook,1005011,18800000
Steinbach,4602044,501000000
Stellarton,1212009,123400000
Stephenville,1004019,179600000
Stephenville Crossing,1004018,40800000
Stettler,4807026,182400000
Stettler County No. 6,4807019,168400000
Stewart,5949032,20400000
Stewiacke,1210002,51200000
Stikine Region,5957022,15200000
Stirling,4802009,33200000
Stirling-Rawdon,3512020,158800000
Stockholm,4705056,10400000
Stoke,2442005,100000000
Stone Mills,3511030,276000000
Stoneham-et-Tewkesbury,2422035,362000000
Stonehenge No. 73,4703038,12000000
Stonewall,4614039,181600000
Stony Creek 1,5951809,8400000
Stony Plain,4811048,637000000
Stornoway,2430105,19600000
Storthoaks No. 31,4701043,10000000
Stoughton,4701066,21200000
St-Pierre-Jolys,4602037,36000000
Strasbourg,4706074,22400000
Stratford,1102080,384000000
Stratford,2430110,32400000
Stratford,3531011,1164000000
Strathcona A,5924048,27200000
Strathcona B,5924052,33200000
Strathcona C,5924054,101600000
Strathcona County,4811052,4430000000
Strathcona D (Oyster Bay - Buttle Lake),5924042,156000000
Strathmore,4805018,496000000
Strathroy-Caradoc,3539015,826000000
Strong,3549046,49200000
Stuartburn,4601035,35600000
Studholm,1305031,97600000
Stukely-Sud,2445105,37600000
Sturgeon County,4811059,848000000
Sturgeon Lake 101,4716856,18800000
Sturgeon Lake 154,4818816,28200000
Sturgis,4709066,19200000
Sucker Creek 150A,4817829,18800000
Sucker Creek 23,3551041,9600000
Sucker River 156C (Nemebien River 156C),4718811,7400000
"Sudbury, Unorganized, North Part",3552093,111200000
Summer Beaver,3560086,5600000
Summerford,1008033,22400000
Summerland,5907035,433000000
Summerside,1103025,472000000
Sun Peaks Mountain,5933045,63200000
Sunchild 202,4809809,12800000
Sundre,4806036,92800000
Sundridge,3549048,30400000
Sunnyside,1001277,13400000
Sunset Point,4813011,10800000
Sunshine Coast A,5929018,105800000
Sunshine Coast B,5929022,110400000
Sunshine Coast D,5929024,130800000
Sunshine Coast E,5929026,141600000
Sunshine Coast F,5929028,91200000
Surrey,5915004,18600000000
Sussex,1305021,79200000
Sussex,1305022,126400000
Sussex Corner,1305023,47200000
Sutton,2446058,186800000
Swan Hills,4817024,44000000
Swan River,4620048,120200000
Swan River 150E,4817831,8800000
Swan Valley West,4620042,80000000
Sweet Grass 113,4712833,11800000
Swift Current,4708004,573000000
Swift Current No. 137,4708001,68800000
Sylvan Lake,4808012,570000000
Taber,4802021,166800000
Taber,4802022,273500000
Taché,4602069,382000000
Tache 1,5951810,9200000
Tadoussac,2495005,23400000
Tagish,6001036,11800000
Tahsis,5924030,10200000
Tall Cree 173,4817838,6000000
Taloyoak,6208087,20400000
Tarbutt and Tarbutt Additional,3557014,24800000
Taschereau,2487042,26400000
Tasiujaq,2499100,9200000
Tay,3543071,374000000
Tay Valley,3509015,208400000
Taylor,5955030,48400000
Tecumseh,3537048,950000000
Tecumseh No. 65,4701063,9600000
Tehkummah,3551001,15000000
Telkwa,5951038,48400000
Temagami,3548069,30600000
Témiscaming,2485005,77200000
Témiscouata-sur-le-Lac,2413073,155600000
Temiskaming Shores,3554020,321000000
Terrace,5949011,439000000
Terrace Bay,3558054,54800000
Terrasse-Vaudreuil,2471075,64800000
Terrebonne,2464008,4010000000
Terrenceville,1002036,14400000
Teulon,4614042,40000000
Thames Centre,3539027,536000000
The Archipelago,3549005,40000000
The Blue Mountains,3542045,514000000
The Nation,3502025,486000000
The North Shore,3557040,20400000
The Pas,4621045,178800000
Theodore,4709028,10600000
Thessalon,3557028,37200000
Thetford Mines,2431084,744000000
Thompson,4603058,29200000
Thompson,4622026,424000000
Thompson-Nicola A (Wells Gray Country),5933068,45000000
Thompson-Nicola E (Bonaparte Plateau),5933032,36400000
Thompson-Nicola I (Blue Sky Country),5933037,38000000
Thompson-Nicola J (Copper Desert Country),5933039,70400000
Thompson-Nicola L (Grasslands),5933060,125600000
Thompson-Nicola M (Beautiful Nicola Valley - North),5933008,59200000
Thompson-Nicola N (Beautiful Nicola Valley - South),5933012,24400000
Thompson-Nicola O (Lower North Thompson),5933072,48800000
Thompson-Nicola P (Rivers and the Peaks),5933044,149600000
Thorhild County,4813036,103000000
Thorne,2484045,12400000
Thorold,3526037,752000000
Thorsby,4811021,31800000
Three Hills,4805048,90800000
Three Lakes No. 400,4715044,20000000
Three Rivers,1101045,222800000
Thunder Bay,3558004,3860000000
"Thunder Bay, Unorganized",3558090,222800000
Thunderchild First Nation 115B,4717803,11000000
Thurso,2480050,88600000
Tide Head,1314015,34400000
Tignish,1103059,21600000
Tignish,1103061,61200000
Tillsonburg,3532004,622000000
Timiskaming,2485806,12200000
"Timiskaming, Unorganized, West Part",3554094,113400000
Timmins,3556027,1492000000
Tingwick,2439025,45000000
Tiny,3543068,491000000
Tisdale,4714044,99400000
Tisdale No. 427,4714043,32400000
Tobique 20,1312007,25800000
Tofield,4810018,64400000
Tofino,5923025,84400000
Torbay,1001509,298000000
Torch River No. 488,4714077,41600000
Toronto,3520005,1.114E+11
Touchwood No. 248,4710014,9200000
Tourville,2417035,14200000
Tracadie,1315002,448000000
Tracy,1303005,17600000
Trail,5905014,269000000
Traytown,1007037,11200000
Trécesson,2488075,45600000
Trent Hills,3514045,444000000
Trent Lakes,3515044,261000000
Trenton,1212016,72000000
Trepassey,1001113,12600000
Très-Saint-Rédempteur,2471125,30600000
Très-Saint-Sacrement,2469030,41600000
Tring-Jonction,2427060,44000000
Trinity Bay North,1007022,43000000
Triton,1008054,29200000
Trochu,4805049,36000000
Trois-Pistoles,2411040,90400000
Trois-Rives,2435055,17200000
Trois-Rivières,2437067,4360000000
Trout River,1009010,11800000
Truro,1210006,373000000
Tsahaheh 1,5923816,15000000
Tsawwassen,5915802,93200000
Tsinstikeptum 10,5935803,71600000
Tsinstikeptum 9,5935802,300000000
Tsulquate 4,5943806,9200000
Tudor and Cashel,3512048,20000000
Tuktoyaktuk,6101036,24800000
Tulita,6102005,13600000
