CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
Saint-Gilbert,2434060,283,-4.4,122,117,37.44,7.6
Deschambault-Grondines,2434058,2235,0.7,1169,1044,124.02,18
Portneuf,2434048,3329,4.5,1696,1609,109.1,30.5
Saint-Basile,2434038,2709,3.4,1327,1262,98.84,27.4
Cap-Santé,2434030,3594,5.4,1589,1509,54.49,66
Donnacona,2434025,7436,3.3,3410,3300,20.2,368.2
Pont-Rouge,2434017,10121,9.5,4344,4178,121.12,83.6
Neuville,2434007,4475,1.9,1967,1889,71.92,62.2
Leclercville,2433123,491,3.8,270,230,136.61,3.6
Lotbinière,2433115,855,5.3,562,424,79.91,10.7
Sainte-Croix,2433102,2529,0.5,1287,1125,69.63,36.3
Saint-Antoine-de-Tilly,2433095,1682,5.3,853,737,59.95,28.1
Saint-Apollinaire,2433090,7968,30.4,3449,3307,96.83,82.3
Notre-Dame-du-Sacré-Coeur-d'Issoudun,2433085,867,0.7,370,351,60.32,14.4
Saint-Édouard-de-Lotbinière,2433080,1240,3.9,557,520,98.43,12.6
Val-Alain,2433070,986,6.7,468,437,102.54,9.6
Saint-Janvier-de-Joly,2433065,1079,9.7,500,471,109.88,9.8
Laurier-Station,2433060,2570,-0.1,1164,1126,12.16,211.3
Saint-Flavien,2433052,1619,0.1,735,663,66.16,24.5
Saint-Agapit,2433045,4526,5.7,1967,1914,65.4,69.2
Dosquet,2433040,935,-1,454,427,65.07,14.4
Saint-Gilles,2433035,2910,15.2,1264,1202,177.43,16.4
Saint-Narcisse-de-Beaurivage,2433030,1152,4.2,466,446,62.07,18.6
Saint-Patrice-de-Beaurivage,2433025,1109,7,474,452,85.73,12.9
Sainte-Agathe-de-Lotbinière,2433017,1049,-10.2,515,473,166.99,6.3
Saint-Sylvestre,2433007,1019,0,488,436,147.15,6.9
Villeroy,2432085,488,6.8,235,211,101.9,4.8
Notre-Dame-de-Lourdes,2432080,787,14.4,361,332,81.39,9.7
Laurierville,2432072,1313,-2.5,605,580,107.91,12.2
Lyster,2432065,1587,-1.1,776,681,167.55,9.5
Inverness,2432058,910,1.2,559,422,176.11,5.2
Saint-Pierre-Baptiste,2432050,560,6.3,318,237,81.77,6.8
Plessisville,2432045,2655,-0.3,1091,1062,141.19,18.8
Plessisville,2432040,6414,-2.1,3456,3158,4.92,1304.2
Princeville,2432033,6218,3.6,2903,2781,195.01,31.9
Sainte-Sophie-d'Halifax,2432023,595,-2.8,258,241,92.13,6.5
Saint-Ferdinand,2432013,2007,-3.3,1277,988,137.16,14.6
Saint-Jacques-de-Leeds,2431140,711,3.8,357,315,80.56,8.8
Saint-Pierre-de-Broughton,2431135,889,-1,453,396,150.56,5.9
Sacré-Coeur-de-Jésus,2431130,536,2.9,277,223,104.73,5.1
East Broughton,2431122,2248,2.2,1059,1014,8.86,253.9
Kinnear's Mills,2431105,397,13.4,194,168,93.66,4.2
Saint-Jean-de-Brébeuf,2431100,351,-5.6,171,157,79.15,4.4
Saint-Adrien-d'Irlande,2431095,395,-1,209,178,53.18,7.4
Thetford Mines,2431084,26072,2.6,13059,12216,225.97,115.4
Sainte-Clotilde-de-Beauce,2431060,569,3.6,261,233,60.55,9.4
Adstock,2431056,2903,3.5,1767,1276,290.03,10
Sainte-Praxède,2431050,351,7.3,290,157,136.18,2.6
Saint-Joseph-de-Coleraine,2431045,1820,3.3,1124,866,126.76,14.4
Irlande,2431040,897,1.5,435,383,109.85,8.2
Saint-Julien,2431035,378,0.5,203,172,81.7,4.6
Saint-Fortunat,2431030,255,-3,164,133,76.09,3.4
Saint-Jacques-le-Majeur-de-Wolfestown,2431025,186,-1.1,134,90,58.71,3.2
Disraeli,2431020,1163,3.6,754,540,92.53,12.6
Disraeli,2431015,2360,1,1311,1226,6.8,347.1
Beaulac-Garthby,2431008,931,2.9,814,478,75.96,12.3
Stratford,2430110,1036,9.6,946,533,119.86,8.6
Stornoway,2430105,535,0.9,272,247,180.15,3
Saint-Romain,2430100,711,2.9,425,328,112.12,6.3
Lambton,2430095,1630,0.8,1143,755,108.45,15
Courcelles,2430090,814,-1.1,430,391,90.34,9
Saint-Sébastien,2430085,674,2.6,329,301,91.95,7.3
Lac-Drolet,2430080,1067,4.5,600,492,124.3,8.6
Saint-Ludger,2430072,1074,0.3,507,449,127.58,8.4
Saint-Robert-Bellarmin,2430070,529,-8,237,224,236.33,2.2
Audet,2430055,708,-3.5,317,284,134.95,5.2
Sainte-Cécile-de-Whitton,2430050,853,-1.2,491,359,146.46,5.8
Nantes,2430045,1388,0.8,668,609,119.16,11.6
Milan,2430040,318,6.4,212,156,129.44,2.5
Marston,2430035,777,10.2,419,341,71.83,10.8
Lac-Mégantic,2430030,5747,1.6,3143,2938,21.98,261.5
Frontenac,2430025,1811,4.4,922,769,223.6,8.1
Piopolis,2430020,398,11.2,315,208,103.38,3.8
Val-Racine,2430015,183,2.8,132,91,116.06,1.6
Notre-Dame-des-Bois,2430010,1028,9.6,817,470,192.51,5.3
Saint-Augustin-de-Woburn,2430005,667,-3.6,354,309,281.07,2.4
Saint-Simon-les-Mines,2429125,573,4.4,231,223,47.43,12.1
Notre-Dame-des-Pins,2429120,1812,13.7,763,745,24.09,75.2
Saint-Éphrem-de-Beauce,2429112,2323,-3.2,1054,987,118.9,19.5
Saint-Benoît-Labre,2429100,1617,-0.8,820,710,85.65,18.9
Lac-Poulin,2429095,171,16.3,154,75,0.88,195.3
Saint-Georges,2429073,32935,1.3,16058,15415,199.08,165.4
Saint-Philibert,2429065,379,2.7,160,148,57.16,6.6
Saint-Côme--Linière,2429057,3278,1.2,1537,1388,150.45,21.8
Saint-René,2429050,946,27,373,351,61.54,15.4
Saint-Martin,2429045,2588,4.5,1226,1136,118,21.9
Saint-Honoré-de-Shenley,2429038,1555,2.5,678,637,133.96,11.6
La Guadeloupe,2429030,1805,5.7,860,814,32.84,55
Saint-Évariste-de-Forsyth,2429025,511,-6.2,311,230,110.85,4.6
Saint-Hilaire-de-Dorset,2429020,96,1.1,56,44,186.77,0.5
Saint-Gédéon-de-Beauce,2429013,2093,-5.1,956,911,197.37,10.6
Saint-Théophile,2429005,702,-1.5,354,322,427.78,1.6
Saint-Magloire,2428075,712,5.3,471,346,208.61,3.4
Saint-Camille-de-Lellis,2428070,737,-2,458,380,251.93,2.9
Sainte-Sabine,2428065,343,-4.2,237,195,66.89,5.1
Saint-Luc-de-Bellechasse,2428060,449,2.5,325,231,161.99,2.8
Lac-Etchemin,2428053,4028,5.4,2075,1741,157.22,25.6
Sainte-Justine,2428045,1828,0.4,844,786,126.28,14.5
Saint-Cyprien,2428040,474,-3.3,290,238,93.48,5.1
Saint-Louis-de-Gonzague,2428035,390,4.3,221,183,118.01,3.3
Sainte-Rose-de-Watford,2428030,740,1.5,399,334,115.13,6.4
Saint-Benjamin,2428025,1090,10.4,493,461,111.53,9.8
Saint-Prosper,2428020,3596,0.2,1646,1561,133.74,26.9
Sainte-Aurélie,2428015,856,1.1,507,423,78.25,10.9
Saint-Zacharie,2428005,1684,1.9,825,760,186.56,9
Saint-Séverin,2427070,300,7.9,191,143,58.92,5.1
Saint-Frédéric,2427065,1065,6.8,443,422,72.35,14.7
Tring-Jonction,2427060,1526,5.4,687,657,27.32,55.9
Saint-Jules,2427055,547,1.5,215,204,55.73,9.8
Saint-Joseph-des-Érables,2427050,377,-8,154,148,51.43,7.3
Saint-Joseph-de-Beauce,2427043,5014,3.2,2219,2130,114.7,43.7
Saint-Odilon-de-Cranbourne,2427035,1407,2.4,604,565,130.61,10.8
Beauceville,2427028,6185,-1.7,2875,2723,164.59,37.6
Saint-Alfred,2427015,519,7.7,241,208,43.49,11.9
Saint-Victor,2427008,2313,-5.5,1198,1025,120.45,19.2
Saint-Lambert-de-Lauzon,2426070,6817,2.6,2752,2671,106.76,63.9
Saint-Isidore,2426063,3286,14.1,1406,1337,102.61,32
Saint-Bernard,2426055,2535,9.2,1048,978,90.1,28.1
Scott,2426048,2566,9.1,1101,1035,31.29,82
Sainte-Hénédine,2426040,1440,13.3,564,544,51.53,27.9
Sainte-Marguerite,2426035,1175,9,531,491,83.05,14.1
Sainte-Marie,2426030,13134,-3.2,5630,5500,107.55,122.1
Saint-Elzéar,2426022,2623,9.3,1031,1001,87.07,30.1
Vallée-Jonction,2426015,1864,-0.6,862,830,25.45,73.2
Saints-Anges,2426010,1239,7.1,522,487,68.65,18
Frampton,2426005,1309,0.9,655,591,151.27,8.7
Lévis,2425213,149683,4.4,68205,65751,448.07,334.1
Wendake,2423802,2200,3.1,1059,1019,1.74,1262
Saint-Augustin-de-Desmaures,2423072,19907,5.8,8453,8143,85.8,232
L'Ancienne-Lorette,2423057,16970,2.6,7516,7314,7.72,2197
Québec,2423027,549459,3.3,283219,265711,452.3,1214.8
Notre-Dame-des-Anges,2423015,241,-24.2,0,0,0.04,6478.5
Lac-Croche,2422902,0,,0,0,1679.99,0
Sainte-Brigitte-de-Laval,2422045,8468,15.2,3343,3203,108.42,78.1
Lac-Beauport,2422040,8164,4.7,3201,3070,61.73,132.2
Stoneham-et-Tewkesbury,2422035,9682,15.8,4421,3862,670.03,14.5
Lac-Delage,2422030,771,20.8,316,308,1.58,486.9
Saint-Gabriel-de-Valcartier,2422025,3223,-4.7,1136,1067,432.62,7.5
Shannon,2422020,6432,6.6,2437,2332,63.54,101.2
Lac-Saint-Joseph,2422015,304,16.9,334,167,33.65,9
Fossambault-sur-le-Lac,2422010,2327,18.7,1282,994,11.49,202.6
Sainte-Catherine-de-la-Jacques-Cartier,2422005,8442,9.6,3407,3298,120.7,69.9
Lac-Jacques-Cartier,2421904,0,,0,0,4131.62,0
Sault-au-Cochon,2421902,0,,0,0,70.18,0
Boischatel,2421045,8231,8.5,3128,3050,20.36,404.3
L'Ange-Gardien,2421040,3842,4,1717,1632,53.61,71.7
Château-Richer,2421035,4425,7.2,2064,1918,228.84,19.3
Sainte-Anne-de-Beaupré,2421030,2888,0.3,1499,1412,62.38,46.3
Beaupré,2421025,4117,9.7,2812,1859,22.97,179.2
Saint-Joachim,2421020,1427,-1,682,629,42.33,33.7
Saint-Louis-de-Gonzague-du-Cap-Tourmente,2421015,0,-100,1,1,0.42,0
Saint-Ferréol-les-Neiges,2421010,3806,17.5,2697,1806,83.18,45.8
Saint-Tite-des-Caps,2421005,1504,2.1,887,720,129.3,11.6
Sainte-Pétronille,2420030,1055,2.1,509,463,4.32,244.4
Saint-Pierre-de-l'Île-d'Orléans,2420025,1743,-12.5,811,768,31.64,55.1
Saint-Laurent-de-l'Île-d'Orléans,2420020,1607,4.9,824,713,35.64,45.1
Saint-Jean-de-l'Île-d'Orléans,2420015,1026,-3.1,639,493,43.48,23.6
Sainte-Famille-de-l'Île-d'Orléans,2420010,850,-9.4,371,343,50.54,16.8
Saint-François-de-l'Île-d'Orléans,2420005,536,1.7,359,253,28.96,18.5
Saint-Vallier,2419117,1031,-2.8,519,457,44.88,23
Saint-Michel-de-Bellechasse,2419110,1871,3.2,896,783,43.08,43.4
Beaumont,2419105,2968,0.9,1171,1120,44.57,66.6
Saint-Charles-de-Bellechasse,2419097,2583,7.8,1121,1064,93.3,27.7
La Durantaye,2419090,782,3.6,374,339,34.99,22.3
Saint-Raphaël,2419082,2458,2.8,1237,1084,121.69,20.2
Saint-Gervais,2419075,2138,-0.7,896,861,89.33,23.9
Honfleur,2419070,881,3.8,362,338,50.67,17.4
Saint-Henri,2419068,5813,3.6,2472,2358,122.61,47.4
Saint-Anselme,2419062,4047,2.8,1772,1697,74.22,54.5
Sainte-Claire,2419055,3526,4.9,1704,1583,88.14,40
Saint-Lazare-de-Bellechasse,2419050,1332,3.4,571,540,85.93,15.5
Saint-Nérée-de-Bellechasse,2419045,744,0.3,451,355,75.76,9.8
Armagh,2419037,1439,-3.3,785,686,167.99,8.6
Saint-Damien-de-Buckland,2419030,1893,-3.2,949,828,82.04,23.1
Saint-Malachie,2419025,1667,9.9,812,699,101.07,16.5
Saint-Léon-de-Standon,2419020,1042,-7.5,678,543,136.88,7.6
Saint-Nazaire-de-Dorchester,2419015,338,-6.9,178,149,51.56,6.6
Notre-Dame-Auxiliatrice-de-Buckland,2419010,767,-0.1,519,381,94.71,8.1
Saint-Philémon,2419005,680,-4.8,533,364,146.51,4.6
Saint-Antoine-de-l'Isle-aux-Grues,2418070,122,-15.3,102,72,23.97,5.1
Berthier-sur-Mer,2418065,1744,12.2,939,789,26.85,65
Saint-François-de-la-Rivière-du-Sud,2418060,1580,-2.6,692,660,96.35,16.4
Saint-Pierre-de-la-Rivière-du-Sud,2418055,840,-7.4,430,370,91.05,9.2
Montmagny,2418050,10999,-2.3,5801,5464,124.44,88.4
Cap-Saint-Ignace,2418045,3099,0.3,1521,1356,204.32,15.2
Notre-Dame-du-Rosaire,2418040,371,-5.4,242,200,164.63,2.3
Sainte-Euphémie-sur-Rivière-du-Sud,2418035,338,5.6,209,171,92.44,3.7
Saint-Paul-de-Montminy,2418030,849,8.2,520,409,162.77,5.2
Sainte-Apolline-de-Patton,2418025,505,-6.8,423,257,256.51,2
Sainte-Lucie-de-Beauregard,2418020,275,-1.8,200,148,82.17,3.3
Saint-Fabien-de-Panet,2418015,945,-0.9,611,462,187.01,5.1
Lac-Frontière,2418010,175,-4.9,154,90,49.96,3.5
Saint-Just-de-Bretenières,2418005,639,-4.3,412,345,132.6,4.8
L'Islet,2417078,3803,-0.6,1871,1735,119.95,31.7
Saint-Jean-Port-Joli,2417070,3329,-2.3,1737,1538,69.31,48
Saint-Roch-des-Aulnaies,2417065,955,4.1,552,449,49.14,19.4
Sainte-Louise,2417060,674,0.4,328,301,76.59,8.8
Saint-Aubert,2417055,1441,-2.2,806,651,98.45,14.6
Saint-Cyrille-de-Lessard,2417045,742,3.3,559,385,230.52,3.2
Saint-Damase-de-L'Islet,2417040,563,2,321,277,247.64,2.3
Tourville,2417035,576,-2.2,337,281,164.36,3.5
Sainte-Perpétue,2417030,1715,4.6,854,753,291.04,5.9
Sainte-Félicité,2417025,350,-10,189,173,94.89,3.7
Saint-Marcel,2417020,422,-1.4,279,205,178.83,2.4
Saint-Adalbert,2417015,460,-9.8,251,217,216.16,2.1
Saint-Pamphile,2417010,2274,-5.3,1188,1097,137.78,16.5
Saint-Omer,2417005,294,6.1,203,144,122.44,2.4
Lac-Pikauba,2416902,0,,1,1,2440.54,0
Saint-Urbain,2416055,1320,-3.9,657,585,330.57,4
Saint-Hilarion,2416050,1146,1.7,533,492,100.3,11.4
Les Éboulements,2416048,1465,10.1,925,643,156.19,9.4
L'Isle-aux-Coudres,2416023,1116,-2.4,760,583,29.46,37.9
Baie-Saint-Paul,2416013,7371,3.1,3782,3427,545.85,13.5
Petite-Rivière-Saint-François,2416005,953,17.1,858,455,133.89,7.1
Sagard,2415904,110,-15.4,91,54,204.59,0.5
Mont-Élie,2415902,51,-19,85,27,851.18,0.1
Baie-Sainte-Catherine,2415065,184,-10.7,125,97,232.89,0.8
Saint-Siméon,2415058,1139,-7.2,713,518,281.14,4.1
Clermont,2415035,3065,-0.6,1490,1429,51.53,59.5
Saint-Aimé-des-Lacs,2415030,1158,5.8,739,517,91.61,12.6
Notre-Dame-des-Monts,2415025,789,-0.3,376,337,57.93,13.6
La Malbaie,2415013,8235,-0.4,4563,3826,458.19,18
Saint-Irénée,2415005,678,5.8,482,333,59.92,11.3
Petit-Lac-Sainte-Anne,2414904,0,,0,0,186.42,0
Picard,2414902,5,-50,3,0,568.1,0
Sainte-Anne-de-la-Pocatière,2414090,1597,-2.4,717,681,54.78,29.2
La Pocatière,2414085,4078,-1,2201,1981,21.18,192.5
Saint-Onésime-d'Ixworth,2414080,522,-6.8,305,258,102.76,5.1
Saint-Gabriel-Lalemant,2414075,660,-7.8,359,315,77.92,8.5
Saint-Pacôme,2414070,1806,13,748,702,29.06,62.1
Rivière-Ouelle,2414065,995,2.6,626,446,57.5,17.3
Saint-Philippe-de-Néri,2414060,818,-1.7,385,370,32.65,25.1
Saint-Denis-De La Bouteillerie,2414055,518,0.2,367,238,33.84,15.3
Kamouraska,2414050,607,-1.5,393,284,44.07,13.8
Saint-Germain,2414045,294,2.8,163,140,28.53,10.3
Saint-André-de-Kamouraska,2414040,658,0,276,253,71.06,9.3
Saint-Alexandre-de-Kamouraska,2414035,2255,6.9,927,868,111.4,20.2
Saint-Joseph-de-Kamouraska,2414030,398,1.8,176,165,84.96,4.7
Sainte-Hélène-de-Kamouraska,2414025,891,-2.9,410,382,60.46,14.7
Saint-Pascal,2414018,3530,1.8,1635,1559,59.68,59.1
Saint-Bruno-de-Kamouraska,2414010,515,-4.8,270,238,188.44,2.7
Mont-Carmel,2414005,1160,2.9,713,534,428.26,2.7
Saint-Athanase,2413100,303,-4.4,171,136,292.63,1
Pohénégamook,2413095,2481,-3.9,1393,1171,339.99,7.3
Saint-Honoré-de-Témiscouata,2413090,763,3,356,327,262.97,2.9
Saint-Elzéar-de-Témiscouata,2413085,311,-3.1,154,138,151.14,2.1
Saint-Louis-du-Ha! Ha!,2413080,1311,1.5,594,552,112.23,11.7
Saint-Pierre-de-Lamy,2413075,122,4.3,100,60,110.63,1.1
Témiscouata-sur-le-Lac,2413073,5054,2.9,2699,2356,218.81,23.1
Saint-Michel-du-Squatec,2413065,1076,-3.3,576,501,361.23,3
Lac-des-Aigles,2413060,495,-3.3,289,240,86.63,5.7
Biencourt,2413055,433,-6.7,283,235,187.12,2.3
Lejeune,2413050,246,-6.1,165,132,270.13,0.9
Auclair,2413045,447,-0.2,264,212,105.78,4.2
Saint-Juste-du-Lac,2413040,543,-3.2,348,269,166.94,3.3
Saint-Eusèbe,2413030,587,-1,276,244,129.56,4.5
Rivière-Bleue,2413025,1261,2.5,732,611,173.42,7.3
Saint-Marc-du-Lac-Long,2413020,365,-8.1,263,178,148.64,2.5
Packington,2413015,578,-4.1,419,273,118.75,4.9
Saint-Jean-de-la-Lande,2413010,232,-6.5,178,126,107.03,2.2
Dégelis,2413005,2884,0.7,1518,1385,556.78,5.2
Notre-Dame-du-Portage,2412080,1296,12.6,748,597,40.06,32.4
Rivière-du-Loup,2412072,20118,3.1,10045,9482,83.74,240.2
Saint-Arsène,2412065,1245,1.2,479,468,70.81,17.6
Cacouna,2412057,1848,2.5,954,855,62.75,29.4
Notre-Dame-des-Sept-Douleurs,2412045,71,97.2,117,46,11.53,6.2
L'Isle-Verte,2412043,1356,4.8,697,643,119.15,11.4
Saint-Paul-de-la-Croix,2412035,313,1.3,182,156,78.42,4
Saint-Épiphane,2412030,836,1.1,390,369,82.85,10.1
Saint-François-Xavier-de-Viger,2412025,247,0.8,137,118,111.27,2.2
Saint-Modeste,2412020,1180,1.5,480,446,109.72,10.8
Saint-Antonin,2412015,4338,7.1,1990,1889,175.93,24.7
Saint-Hubert-de-Rivière-du-Loup,2412010,1412,10.4,1019,646,192.2,7.3
Saint-Cyprien,2412005,1078,1.1,502,448,138.43,7.8
Lac-Boisbouscache,2411902,0,,0,0,98.15,0
Saint-Simon-de-Rimouski,2411055,455,6.8,333,230,74.84,6.1
Saint-Mathieu-de-Rioux,2411050,691,8.1,573,341,107.27,6.4
Notre-Dame-des-Neiges,2411045,1194,10,815,575,94.44,12.6
Trois-Pistoles,2411040,3115,-4,1727,1562,7.63,408.1
Saint-Éloi,2411035,310,8.4,151,136,65.77,4.7
Sainte-Françoise,2411030,383,-0.8,209,192,88.83,4.3
Saint-Médard,2411025,216,3.3,120,106,75.28,2.9
Saint-Guy,2411020,76,40.7,65,47,139.54,0.5
Sainte-Rita,2411015,303,-1.3,216,142,129.52,2.3
Saint-Jean-de-Dieu,2411010,1651,3.4,742,699,152.04,10.9
Saint-Clément,2411005,479,4.1,231,214,86.72,5.5
Lac-Huron,2410902,30,200,125,21,960.57,0
Saint-Eugène-de-Ladrière,2410075,413,9.3,190,183,331.36,1.2
Saint-Fabien,2410070,1834,-0.2,1171,867,119.92,15.3
Saint-Valérien,2410060,906,8.5,459,378,145.02,6.2
Rimouski,2410043,48935,0.6,24849,23470,339.13,144.3
Saint-Anaclet-de-Lessard,2410030,3019,-1.7,1324,1275,126.37,23.9
Saint-Marcellin,2410025,397,12.5,324,213,117.19,3.4
Saint-Narcisse-de-Rimouski,2410015,1084,12.8,667,495,162.4,6.7
La Trinité-des-Monts,2410010,233,4.5,167,128,233.07,1
Esprit-Saint,2410005,340,-0.3,198,173,168.96,2
Lac-à-la-Croix,2409904,0,,0,0,223.35,0
Lac-des-Eaux-Mortes,2409902,47,,202,25,923.26,0.1
Sainte-Luce,2409092,2845,1.6,1462,1292,72.59,39.2
Sainte-Flavie,2409085,904,2.3,531,418,38.23,23.6
Mont-Joli,2409077,6384,1.6,3173,3034,24.24,263.3
Saint-Joseph-de-Lepage,2409070,590,12.8,260,223,30.98,19
Price,2409065,1729,-1.7,794,760,2.51,688.8
Grand-Métis,2409060,218,2.3,206,122,25.12,8.7
Saint-Octave-de-Métis,2409055,493,-3.5,221,207,75.16,6.6
Métis-sur-Mer,2409048,594,3.8,505,310,48.22,12.3
Padoue,2409040,250,2,123,111,66.66,3.8
Sainte-Angèle-de-Mérici,2409035,989,3.8,519,455,107.78,9.2
Saint-Donat,2409030,835,-4.7,478,400,95.8,8.7
Saint-Gabriel-de-Rimouski,2409025,1177,0.9,581,524,126.98,9.3
Sainte-Jeanne-d'Arc,2409020,217,-22.5,146,110,110.34,2
Les Hauteurs,2409015,485,-3.8,263,217,102.92,4.7
Saint-Charles-Garnier,2409010,222,-7.5,151,110,84.79,2.6
La Rédemption,2409005,384,-11.1,227,174,116.63,3.3
Rivière-Bonjour,2408902,16,,67,8,1682.5,0
Baie-des-Sables,2408080,613,-2.4,336,281,65.07,9.4
Saint-Ulric,2408073,1567,-1.1,912,781,120.45,13
Saint-Léandre,2408065,375,-6.3,222,188,104.72,3.6
Matane,2408053,13987,-2.3,7482,6996,195.49,71.5
Sainte-Paule,2408040,247,6,217,129,83.36,3
Saint-René-de-Matane,2408035,961,-3,596,478,253.89,3.8
Saint-Adelme,2408030,484,-6.9,291,223,100.58,4.8
Sainte-Félicité,2408023,1100,1.2,580,505,90.73,12.1
Grosses-Roches,2408015,375,-4.8,261,206,63.59,5.9
Saint-Jean-de-Cherbourg,2408010,163,-1.2,93,73,113.96,1.4
Les Méchins,2408005,995,0.8,671,519,441.39,2.3
Lac-Matapédia,2407914,10,100,18,8,71.01,0.1
Lac-Alfred,2407912,0,,0,0,77.53,0
Ruisseau-des-Mineurs,2407910,5,,27,4,935.95,0
Lac-Casault,2407908,30,,142,24,1428.21,0
Rivière-Patapédia-Est,2407906,0,,0,0,15.85,0
Rivière-Vaseuse,2407904,0,,0,0,275.3,0
Routhierville,2407902,20,11.1,15,11,626.26,0
Saint-Damase,2407105,382,7.3,178,165,116.42,3.3
Saint-Noël,2407100,392,-1.5,210,182,45.8,8.6
Saint-Moïse,2407095,542,-6.6,324,265,109.8,4.9
Saint-Cléophas,2407090,321,-3.6,159,145,97.22,3.3
Sayabec,2407085,1706,-6.8,872,812,130.31,13.1
Val-Brillant,2407080,899,-3,504,419,77.9,11.5
Saint-Vianney,2407075,446,1.1,245,212,145.6,3.1
Saint-Tharcisius,2407070,411,-2.4,199,185,78.84,5.2
Saint-Alexandre-des-Lacs,2407065,298,11.2,143,129,89.82,3.3
Lac-au-Saumon,2407057,1488,2.6,646,607,81.05,18.4
Amqui,2407047,5999,-2.9,3015,2846,121.02,49.6
Sainte-Irène,2407040,369,12.8,246,174,135.09,2.7
Saint-Zénon-du-Lac-Humqui,2407035,370,3.1,283,194,113.09,3.3
Saint-Léon-le-Grand,2407030,968,1.6,447,420,128.26,7.5
Albertville,2407025,239,5.8,163,122,103.13,2.3
Causapscal,2407018,2147,-6.8,1140,1061,161.61,13.3
Sainte-Florence,2407010,367,-4.4,207,187,103.48,3.5
Sainte-Marguerite-Marie,2407005,183,10.2,91,86,85.97,2.1
Ruisseau-Ferguson,2406904,0,,0,0,675.94,0
Rivière-Nouvelle,2406902,0,,0,0,1087.6,0
Listuguj,2406804,,,,,44.23,
Gesgapegiag,2406802,637,-2.5,264,243,2.2,289.8
L'Ascension-de-Patapédia,2406060,148,-9.8,111,87,95.98,1.5
Saint-François-d'Assise,2406055,679,5.4,367,323,179.34,3.8
Saint-Alexis-de-Matapédia,2406050,519,3.8,285,249,84.91,6.1
Matapédia,2406045,566,-12.2,357,307,71.59,7.9
Saint-André-de-Restigouche,2406040,154,-4.3,92,72,143.37,1.1
Ristigouche-Partie-Sud-Est,2406035,170,-0.6,95,81,51.76,3.3
Pointe-à-la-Croix,2406030,1344,-4.5,697,642,390.73,3.4
Escuminac,2406025,575,5.7,317,268,108.7,5.3
Nouvelle,2406020,1782,6,931,829,234.66,7.6
Carleton-sur-Mer,2406013,4081,0.2,2222,2016,221.48,18.4
Maria,2406005,2760,5.5,1229,1164,94.88,29.1
Rivière-Bonaventure,2405902,59,68.6,87,36,3054.37,0
Cascapédia--Saint-Jules,2405077,764,4.7,385,347,164.29,4.7
New Richmond,2405070,3683,-0.6,1805,1715,172.5,21.4
Saint-Alphonse,2405065,711,1.7,325,314,112.09,6.3
Caplan,2405060,1966,-2.9,969,920,85.69,22.9
Saint-Siméon,2405055,1207,3.1,606,576,56.71,21.3
Saint-Elzéar,2405050,464,1.3,227,204,204.16,2.3
Bonaventure,2405045,2733,1,1404,1318,104.5,26.2
New Carlisle,2405040,1336,-3.7,668,603,67.99,19.6
Paspébiac,2405032,3033,-4.1,1501,1409,94.98,31.9
Hope,2405025,584,2.8,320,289,70.55,8.3
Hope Town,2405020,334,-1.5,167,142,51.26,6.5
Saint-Godefroi,2405015,350,-7.9,200,177,63.57,5.5
Shigawake,2405010,333,14,167,144,76.82,4.3
Coulée-des-Adolphe,2404904,0,,1,0,86.2,0
Mont-Albert,2404902,167,-6.7,110,91,3463.19,0
Cap-Chat,2404047,2516,1.6,1405,1225,181.31,13.9
Sainte-Anne-des-Monts,2404037,6121,-4.9,3353,3030,263.51,23.2
La Martre,2404030,194,-20.2,119,84,175.23,1.1
Marsoui,2404025,289,5.1,179,149,181.4,1.6
Rivière-à-Claude,2404020,141,10.2,113,76,155.95,0.9
Mont-Saint-Pierre,2404015,186,20,133,98,52.07,3.6
Saint-Maxime-du-Mont-Louis,2404010,1047,-7.7,585,501,232.67,4.5
Sainte-Madeleine-de-la-Rivière-Madeleine,2404005,289,0,224,161,262.35,1.1
Collines-du-Basque,2403904,0,,0,0,817.84,0
Rivière-Saint-Jean,2403902,0,,3,0,1748.14,0
Murdochville,2403025,643,-1.2,476,327,60.84,10.6
Grande-Vallée,2403020,1077,1.9,595,530,144.16,7.5
Petite-Vallée,2403015,157,-7.6,98,82,39.9,3.9
Cloridorme,2403010,607,-9.5,382,315,158.74,3.8
Gaspé,2403005,15063,3.4,7352,6780,1118.77,13.5
Mont-Alexandre,2402902,0,,0,0,1800.87,0
Port-Daniel--Gascons,2402047,2271,2.8,1227,1079,300.29,7.6
Chandler,2402028,7490,-0.7,3794,3572,418.45,17.9
Grande-Rivière,2402015,3384,-0.7,1723,1643,87.92,38.5
Sainte-Thérèse-de-Gaspé,2402010,979,-3.5,504,475,34.45,28.4
Percé,2402005,3095,-0.3,1862,1550,432.81,7.2
Grosse-Île,2401042,464,-0.2,252,220,32.28,14.4
Les Îles-de-la-Madeleine,2401023,12190,1.5,6413,5610,155.06,78.6
Maisonnette,1315040,535,8.1,401,294,12.91,41.4
Grande-Anse,1315038,731,-18.7,412,361,24.27,30.1
Nigadoo,1315037,997,3.5,450,436,7.65,130.4
Bertrand,1315036,1153,-1.1,665,581,57.01,20.2
