REF_DATE,GEO,DGUID,CDUID,Display value,Statement of operations and balance sheet,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Taxes on property [113],Dollars,81,thousands,3,v1571493220,106.1.5,1737131,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Recurrent taxes on immovable property [1131],Dollars,81,thousands,3,v1571493221,106.1.6,1728253,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Taxes on financial and capital transactions [1134],Dollars,81,thousands,3,v1571493222,106.1.7,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Other taxes on property [1133, 1136]",Dollars,81,thousands,3,v1571493223,106.1.8,8878,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Taxes on goods and services [114],Dollars,81,thousands,3,v1571493224,106.1.9,421317,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Other taxes [1161, 1162]",Dollars,81,thousands,3,v1571493225,106.1.10,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Social contributions [12],Dollars,81,thousands,3,v1571493226,106.1.11,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Grants, revenue [13]",Dollars,81,thousands,3,v1571493227,106.1.12,842970,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Other revenue [14],Dollars,81,thousands,3,v1571493228,106.1.13,854272,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Property income [141],Dollars,81,thousands,3,v1571493229,106.1.14,78160,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Sales of goods and services [142],Dollars,81,thousands,3,v1571493230,106.1.15,461682,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Fines, penalties and forfeits [143]",Dollars,81,thousands,3,v1571493231,106.1.16,81858,,,,0
